time,dispx,nor_forc,nor_forc_z,strain_zx_interface,stres_xx_interface,stres_yy_interface,stres_zz_interface,stress_zx_interface,tang_forc_x
0,3.4210733916191e-06,198.75607932556,-198.75604051068,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.0004179013572391
0.005,3.4210733916191e-06,198.75607932579,-198.75604051091,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790137206837
0.01,3.4210733916191e-06,198.75607932587,-198.75604051099,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136908368
0.015,3.4210733916191e-06,198.75607932574,-198.75604051086,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790135904843
0.02,3.4210733916191e-06,198.7560793257,-198.75604051082,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790135885164
0.025,3.4210733916191e-06,198.75607932561,-198.75604051073,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136291314
0.03,3.4210733916191e-06,198.75607932575,-198.75604051087,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790137451178
0.035,3.4210733916191e-06,198.75607932586,-198.75604051098,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136663247
0.04,3.4210733916191e-06,198.75607932578,-198.7560405109,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790135659411
0.045,3.4210733916191e-06,198.7560793257,-198.75604051082,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136614295
0.05,3.4210733916191e-06,198.75607932564,-198.75604051076,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136208864
0.055,3.4210733916191e-06,198.75607932568,-198.7560405108,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790137700981
0.06,3.4210733916191e-06,198.75607932587,-198.75604051099,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136746217
0.065,3.4210733916191e-06,198.75607932578,-198.7560405109,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136551118
0.07,3.4210733916191e-06,198.7560793257,-198.75604051082,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136540637
0.075,3.4210733916191e-06,198.75607932558,-198.7560405107,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.0004179013596505
0.08,3.4210733916191e-06,198.75607932575,-198.75604051087,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136638215
0.085,3.4210733916191e-06,198.75607932583,-198.75604051095,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.0004179013698743
0.09,3.4210733916191e-06,198.75607932581,-198.75604051093,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136313244
0.095,3.4210733916191e-06,198.75607932568,-198.7560405108,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136620048
0.1,3.4210733916191e-06,198.75607932566,-198.75604051078,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790135720102
0.105,3.4210733916191e-06,198.75607932569,-198.75604051082,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790137044465
0.11,3.4210733916191e-06,198.75607932577,-198.75604051089,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790137560552
0.115,3.4210733916191e-06,198.75607932578,-198.7560405109,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136556594
0.12,3.4210733916191e-06,198.75607932575,-198.75604051087,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790135559175
0.125,3.4210733916191e-06,198.75607932557,-198.75604051069,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136127778
0.13,3.4210733916191e-06,198.75607932579,-198.75604051091,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136147266
0.135,3.4210733916191e-06,198.75607932584,-198.75604051097,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.000417901369894
0.14,3.4210733916191e-06,198.75607932573,-198.75604051085,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136966291
0.145,3.4210733916191e-06,198.75607932571,-198.75604051083,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136943209
0.15,3.4210733916191e-06,198.75607932562,-198.75604051074,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.0004179013653946
0.155,3.4210733916191e-06,198.75607932575,-198.75604051087,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136555747
0.16,3.4210733916191e-06,198.75607932581,-198.75604051093,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.0004179013625431
0.165,3.4210733916191e-06,198.7560793257,-198.75604051082,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136391667
0.17,3.4210733916191e-06,198.75607932578,-198.7560405109,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136211664
0.175,3.4210733916191e-06,198.7560793256,-198.75604051072,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790135963518
0.18,3.4210733916191e-06,198.75607932579,-198.75604051091,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136637862
0.185,3.4210733916191e-06,198.75607932583,-198.75604051095,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136335226
0.19,3.4210733916191e-06,198.75607932575,-198.75604051087,-2.3262358153941e-13,0.7702377181763,0.77059402021079,-5.4842194964569,-7.4439546093566e-07,0.00041790136472952
