time,nominal_disp,corrected_disp
0.005,0.0000,0.0000
0.010,0.0000,0.0000
0.015,0.0000,0.0000
0.020,0.0000,0.0000
0.025,0.0000,0.0000
0.030,0.0000,0.0000
0.035,0.0000,0.0000
0.040,0.0000,0.0000
0.045,0.0000,0.0000
0.050,0.0000,0.0000
0.055,0.0000,0.0000
0.060,0.0000,0.0000
0.065,0.0000,0.0000
0.070,0.0000,0.0000
0.075,0.0000,0.0000
0.080,0.0000,0.0000
0.085,0.0000,0.0000
0.090,0.0000,0.0000
0.095,0.0000,0.0000
0.100,0.0000,0.0000
0.105,0.0000,0.0000
0.110,0.0000,0.0000
0.115,0.0000,0.0000
0.120,0.0000,0.0000
0.125,0.0000,0.0000
0.130,0.0000,0.0000
0.135,0.0000,-0.0001
0.140,0.0000,-0.0001
0.145,0.0000,-0.0001
0.150,0.0000,-0.0001
0.155,0.0000,-0.0001
0.160,0.0000,-0.0001
0.165,0.0000,-0.0001
0.170,0.0000,-0.0001
0.175,0.0000,-0.0001
0.180,0.0000,-0.0001
0.185,0.0000,-0.0001
0.190,0.0000,-0.0001
0.195,0.0000,-0.0002
0.200,0.0000,-0.0002
0.205,0.0000,-0.0002
0.210,0.0000,-0.0002
0.215,0.0000,-0.0002
0.220,0.0000,-0.0002
0.225,0.0000,-0.0002
0.230,0.0000,-0.0002
0.235,0.0000,-0.0002
0.240,0.0000,-0.0002
0.245,0.0000,-0.0003
0.250,0.0000,-0.0003
0.255,0.0000,-0.0003
0.260,0.0000,-0.0003
0.265,0.0000,-0.0003
0.270,0.0000,-0.0003
0.275,0.0000,-0.0003
0.280,0.0000,-0.0003
0.285,0.0000,-0.0003
0.290,0.0000,-0.0004
0.295,0.0000,-0.0004
0.300,0.0000,-0.0004
0.305,0.0000,-0.0004
0.310,0.0000,-0.0004
0.315,0.0000,-0.0004
0.320,0.0000,-0.0004
0.325,0.0000,-0.0004
0.330,0.0000,-0.0005
0.335,0.0000,-0.0005
0.340,0.0000,-0.0005
0.345,0.0000,-0.0005
0.350,0.0000,-0.0005
0.355,0.0000,-0.0005
0.360,0.0000,-0.0005
0.365,0.0000,-0.0006
0.370,0.0000,-0.0006
0.375,0.0000,-0.0006
0.380,0.0000,-0.0006
0.385,0.0000,-0.0006
0.390,0.0000,-0.0006
0.395,0.0000,-0.0007
0.400,0.0000,-0.0007
0.405,0.0000,-0.0007
0.410,0.0000,-0.0007
0.415,0.0000,-0.0007
0.420,0.0001,-0.0007
0.425,0.0001,-0.0008
0.430,0.0001,-0.0008
0.435,0.0001,-0.0008
0.440,0.0001,-0.0008
0.445,0.0001,-0.0008
0.450,0.0001,-0.0008
0.455,0.0001,-0.0009
0.460,0.0001,-0.0009
0.465,0.0001,-0.0009
0.470,0.0001,-0.0009
0.475,0.0001,-0.0009
0.480,0.0001,-0.0009
0.485,0.0001,-0.0010
0.490,0.0001,-0.0010
0.495,0.0001,-0.0010
0.500,0.0001,-0.0010
0.505,0.0001,-0.0010
0.510,0.0001,-0.0011
0.515,0.0001,-0.0011
0.520,0.0001,-0.0011
0.525,0.0001,-0.0011
0.530,0.0001,-0.0012
0.535,0.0001,-0.0012
0.540,0.0001,-0.0012
0.545,0.0001,-0.0012
0.550,0.0001,-0.0012
0.555,0.0001,-0.0013
0.560,0.0001,-0.0013
0.565,0.0001,-0.0013
0.570,0.0001,-0.0013
0.575,0.0001,-0.0013
0.580,0.0001,-0.0014
0.585,0.0001,-0.0014
0.590,0.0001,-0.0014
0.595,0.0002,-0.0014
0.600,0.0002,-0.0014
0.605,0.0002,-0.0015
0.610,0.0002,-0.0015
0.615,0.0002,-0.0015
0.620,0.0002,-0.0015
0.625,0.0002,-0.0015
0.630,0.0002,-0.0016
0.635,0.0002,-0.0016
0.640,0.0002,-0.0016
0.645,0.0002,-0.0016
0.650,0.0002,-0.0017
0.655,0.0002,-0.0017
0.660,0.0002,-0.0017
0.665,0.0002,-0.0018
0.670,0.0002,-0.0018
0.675,0.0002,-0.0018
0.680,0.0002,-0.0018
0.685,0.0002,-0.0019
0.690,0.0002,-0.0019
0.695,0.0002,-0.0019
0.700,0.0002,-0.0020
0.705,0.0002,-0.0020
0.710,0.0002,-0.0020
0.715,0.0002,-0.0021
0.720,0.0002,-0.0021
0.725,0.0002,-0.0021
0.730,0.0002,-0.0022
0.735,0.0002,-0.0022
0.740,0.0002,-0.0022
0.745,0.0002,-0.0023
0.750,0.0002,-0.0023
0.755,0.0002,-0.0023
0.760,0.0002,-0.0024
0.765,0.0002,-0.0024
0.770,0.0002,-0.0024
0.775,0.0002,-0.0025
0.780,0.0002,-0.0025
0.785,0.0001,-0.0026
0.790,0.0001,-0.0026
0.795,0.0001,-0.0026
0.800,0.0001,-0.0027
0.805,0.0001,-0.0027
0.810,0.0001,-0.0027
0.815,0.0001,-0.0028
0.820,0.0001,-0.0028
0.825,0.0001,-0.0029
0.830,0.0001,-0.0029
0.835,0.0001,-0.0029
0.840,0.0001,-0.0030
0.845,0.0001,-0.0030
0.850,0.0001,-0.0031
0.855,0.0001,-0.0031
0.860,0.0001,-0.0031
0.865,0.0001,-0.0032
0.870,0.0001,-0.0032
0.875,0.0001,-0.0032
0.880,0.0001,-0.0033
0.885,0.0001,-0.0033
0.890,0.0001,-0.0033
0.895,0.0001,-0.0034
0.900,0.0001,-0.0034
0.905,0.0001,-0.0034
0.910,0.0001,-0.0035
0.915,0.0001,-0.0035
0.920,0.0001,-0.0036
0.925,0.0001,-0.0036
0.930,0.0001,-0.0037
0.935,0.0001,-0.0037
0.940,0.0001,-0.0037
0.945,0.0001,-0.0038
0.950,0.0001,-0.0038
0.955,0.0001,-0.0039
0.960,0.0001,-0.0039
0.965,0.0001,-0.0039
0.970,0.0001,-0.0040
0.975,0.0001,-0.0040
0.980,0.0001,-0.0041
0.985,0.0001,-0.0041
0.990,0.0001,-0.0041
0.995,0.0001,-0.0042
1.000,0.0001,-0.0042
1.005,0.0001,-0.0043
1.010,0.0001,-0.0043
1.015,0.0001,-0.0044
1.020,0.0001,-0.0044
1.025,0.0001,-0.0045
1.030,0.0001,-0.0045
1.035,0.0001,-0.0045
1.040,0.0001,-0.0046
1.045,0.0001,-0.0046
1.050,0.0001,-0.0047
1.055,0.0001,-0.0047
1.060,0.0001,-0.0048
1.065,0.0001,-0.0048
1.070,0.0001,-0.0049
1.075,0.0001,-0.0049
1.080,0.0001,-0.0050
1.085,0.0001,-0.0050
1.090,0.0001,-0.0050
1.095,0.0001,-0.0051
1.100,0.0001,-0.0051
1.105,0.0001,-0.0052
1.110,0.0001,-0.0052
1.115,0.0001,-0.0053
