time,nominal_disp,corrected_disp
0.005,0.0000,0.0000
0.010,0.0000,0.0000
0.015,0.0000,0.0000
0.020,0.0000,-0.0001
0.025,0.0000,-0.0001
0.030,0.0000,-0.0002
0.035,0.0000,-0.0002
0.040,0.0000,-0.0003
0.045,0.0001,-0.0004
0.050,0.0001,-0.0005
0.055,0.0001,-0.0005
0.060,0.0001,-0.0006
0.065,0.0001,-0.0008
0.070,0.0001,-0.0009
0.075,0.0002,-0.0010
0.080,0.0002,-0.0011
0.085,0.0002,-0.0013
0.090,0.0002,-0.0014
0.095,0.0003,-0.0016
0.100,0.0003,-0.0018
0.105,0.0003,-0.0020
0.110,0.0004,-0.0022
0.115,0.0004,-0.0023
0.120,0.0004,-0.0026
0.125,0.0005,-0.0028
0.130,0.0005,-0.0030
0.135,0.0006,-0.0032
0.140,0.0006,-0.0035
0.145,0.0006,-0.0037
0.150,0.0007,-0.0040
0.155,0.0007,-0.0042
0.160,0.0008,-0.0045
0.165,0.0008,-0.0048
0.170,0.0009,-0.0051
0.175,0.0009,-0.0054
0.180,0.0010,-0.0057
0.185,0.0010,-0.0061
0.190,0.0011,-0.0064
0.195,0.0012,-0.0067
0.200,0.0012,-0.0071
0.205,0.0013,-0.0074
0.210,0.0014,-0.0078
0.215,0.0014,-0.0082
0.220,0.0015,-0.0085
0.225,0.0016,-0.0089
0.230,0.0016,-0.0093
0.235,0.0017,-0.0097
0.240,0.0018,-0.0102
0.245,0.0019,-0.0106
0.250,0.0019,-0.0110
0.255,0.0020,-0.0114
0.260,0.0021,-0.0119
0.265,0.0022,-0.0124
0.270,0.0023,-0.0128
0.275,0.0024,-0.0133
0.280,0.0025,-0.0138
0.285,0.0025,-0.0143
0.290,0.0026,-0.0148
0.295,0.0027,-0.0153
0.300,0.0028,-0.0158
0.305,0.0029,-0.0163
0.310,0.0030,-0.0169
0.315,0.0031,-0.0174
0.320,0.0032,-0.0180
0.325,0.0033,-0.0185
0.330,0.0035,-0.0191
0.335,0.0036,-0.0197
0.340,0.0037,-0.0202
0.345,0.0038,-0.0208
0.350,0.0039,-0.0214
0.355,0.0040,-0.0221
0.360,0.0041,-0.0227
0.365,0.0043,-0.0233
0.370,0.0044,-0.0239
0.375,0.0045,-0.0246
0.380,0.0046,-0.0252
0.385,0.0047,-0.0259
0.390,0.0049,-0.0266
0.395,0.0050,-0.0273
0.400,0.0051,-0.0280
0.405,0.0053,-0.0287
0.410,0.0054,-0.0294
0.415,0.0055,-0.0301
0.420,0.0057,-0.0308
0.425,0.0058,-0.0315
0.430,0.0059,-0.0323
0.435,0.0061,-0.0330
0.440,0.0062,-0.0338
0.445,0.0064,-0.0346
0.450,0.0065,-0.0353
0.455,0.0067,-0.0361
0.460,0.0068,-0.0369
0.465,0.0069,-0.0377
0.470,0.0071,-0.0385
0.475,0.0073,-0.0393
0.480,0.0074,-0.0402
0.485,0.0076,-0.0410
0.490,0.0077,-0.0419
0.495,0.0079,-0.0427
0.500,0.0080,-0.0436
0.505,0.0082,-0.0444
0.510,0.0084,-0.0453
0.515,0.0085,-0.0462
0.520,0.0087,-0.0471
0.525,0.0089,-0.0480
0.530,0.0090,-0.0489
0.535,0.0092,-0.0499
0.540,0.0094,-0.0508
0.545,0.0095,-0.0517
0.550,0.0097,-0.0527
0.555,0.0099,-0.0536
0.560,0.0101,-0.0546
0.565,0.0103,-0.0556
0.570,0.0104,-0.0566
0.575,0.0106,-0.0575
0.580,0.0108,-0.0585
0.585,0.0110,-0.0596
0.590,0.0112,-0.0606
0.595,0.0114,-0.0616
0.600,0.0116,-0.0626
0.605,0.0118,-0.0637
0.610,0.0120,-0.0647
0.615,0.0122,-0.0658
0.620,0.0124,-0.0668
0.625,0.0126,-0.0679
0.630,0.0128,-0.0690
0.635,0.0130,-0.0701
0.640,0.0132,-0.0712
0.645,0.0134,-0.0723
0.650,0.0136,-0.0734
0.655,0.0138,-0.0746
0.660,0.0140,-0.0757
0.665,0.0142,-0.0769
0.670,0.0144,-0.0780
0.675,0.0146,-0.0792
0.680,0.0148,-0.0804
0.685,0.0150,-0.0815
0.690,0.0153,-0.0827
0.695,0.0155,-0.0839
0.700,0.0157,-0.0851
0.705,0.0159,-0.0864
0.710,0.0161,-0.0876
0.715,0.0164,-0.0888
0.720,0.0166,-0.0900
0.725,0.0168,-0.0913
0.730,0.0171,-0.0925
0.735,0.0173,-0.0938
0.740,0.0175,-0.0951
0.745,0.0177,-0.0964
0.750,0.0180,-0.0977
0.755,0.0182,-0.0990
0.760,0.0184,-0.1003
0.765,0.0187,-0.1016
0.770,0.0189,-0.1029
0.775,0.0192,-0.1043
0.780,0.0194,-0.1056
0.785,0.0196,-0.1070
0.790,0.0199,-0.1084
0.795,0.0201,-0.1097
0.800,0.0204,-0.1111
0.805,0.0206,-0.1125
0.810,0.0209,-0.1139
0.815,0.0211,-0.1153
0.820,0.0214,-0.1167
0.825,0.0216,-0.1182
0.830,0.0219,-0.1196
0.835,0.0221,-0.1210
0.840,0.0224,-0.1225
0.845,0.0227,-0.1239
0.850,0.0229,-0.1254
0.855,0.0232,-0.1269
0.860,0.0235,-0.1284
0.865,0.0237,-0.1299
0.870,0.0240,-0.1313
0.875,0.0243,-0.1329
0.880,0.0245,-0.1344
0.885,0.0248,-0.1359
0.890,0.0251,-0.1374
0.895,0.0254,-0.1389
0.900,0.0257,-0.1405
0.905,0.0260,-0.1420
0.910,0.0262,-0.1436
0.915,0.0265,-0.1452
0.920,0.0268,-0.1468
0.925,0.0271,-0.1483
0.930,0.0274,-0.1499
0.935,0.0277,-0.1515
0.940,0.0280,-0.1531
0.945,0.0283,-0.1548
0.950,0.0286,-0.1564
0.955,0.0289,-0.1580
0.960,0.0292,-0.1597
0.965,0.0295,-0.1613
0.970,0.0298,-0.1630
0.975,0.0301,-0.1646
0.980,0.0305,-0.1663
0.985,0.0308,-0.1680
0.990,0.0311,-0.1697
0.995,0.0314,-0.1714
1.000,0.0317,-0.1731
1.005,0.0320,-0.1748
1.010,0.0323,-0.1765
1.015,0.0327,-0.1783
1.020,0.0330,-0.1800
1.025,0.0333,-0.1818
1.030,0.0336,-0.1835
1.035,0.0340,-0.1853
1.040,0.0343,-0.1871
1.045,0.0346,-0.1889
1.050,0.0349,-0.1907
1.055,0.0353,-0.1925
1.060,0.0356,-0.1943
1.065,0.0359,-0.1961
1.070,0.0363,-0.1980
1.075,0.0366,-0.1998
1.080,0.0369,-0.2016
1.085,0.0373,-0.2035
1.090,0.0376,-0.2054
1.095,0.0380,-0.2072
1.100,0.0383,-0.2091
1.105,0.0387,-0.2110
