time,nominal_disp,corrected_disp
1.110,0.0390,-0.2129
1.115,0.0394,-0.2148
1.120,0.0397,-0.2167
1.125,0.0401,-0.2186
1.130,0.0404,-0.2205
1.135,0.0408,-0.2225
1.140,0.0412,-0.2244
1.145,0.0415,-0.2264
1.150,0.0419,-0.2283
1.155,0.0423,-0.2303
1.160,0.0426,-0.2323
1.165,0.0430,-0.2343
1.170,0.0434,-0.2363
1.175,0.0437,-0.2383
1.180,0.0441,-0.2403
1.185,0.0445,-0.2423
1.190,0.0448,-0.2443
1.195,0.0452,-0.2464
1.200,0.0456,-0.2484
1.205,0.0459,-0.2505
1.210,0.0463,-0.2525
1.215,0.0467,-0.2546
1.220,0.0471,-0.2567
1.225,0.0474,-0.2588
1.230,0.0478,-0.2609
1.235,0.0482,-0.2630
1.240,0.0486,-0.2651
1.245,0.0490,-0.2673
1.250,0.0494,-0.2694
1.255,0.0498,-0.2715
1.260,0.0501,-0.2737
1.265,0.0505,-0.2758
1.270,0.0509,-0.2780
1.275,0.0513,-0.2802
1.280,0.0517,-0.2824
1.285,0.0521,-0.2846
1.290,0.0525,-0.2868
1.295,0.0529,-0.2890
1.300,0.0533,-0.2912
1.305,0.0537,-0.2934
1.310,0.0541,-0.2957
1.315,0.0545,-0.2979
1.320,0.0549,-0.3002
1.325,0.0553,-0.3024
1.330,0.0557,-0.3047
1.335,0.0561,-0.3070
1.340,0.0565,-0.3093
1.345,0.0569,-0.3116
1.350,0.0573,-0.3139
1.355,0.0578,-0.3162
1.360,0.0582,-0.3185
1.365,0.0586,-0.3208
1.370,0.0590,-0.3232
1.375,0.0594,-0.3255
1.380,0.0598,-0.3279
1.385,0.0603,-0.3302
1.390,0.0607,-0.3326
1.395,0.0611,-0.3350
1.400,0.0615,-0.3374
1.405,0.0619,-0.3398
1.410,0.0624,-0.3422
1.415,0.0628,-0.3446
1.420,0.0632,-0.3470
1.425,0.0637,-0.3495
1.430,0.0641,-0.3519
1.435,0.0645,-0.3543
1.440,0.0649,-0.3568
1.445,0.0654,-0.3593
1.450,0.0658,-0.3618
1.455,0.0662,-0.3642
1.460,0.0667,-0.3667
1.465,0.0671,-0.3692
1.470,0.0675,-0.3718
1.475,0.0680,-0.3743
1.480,0.0684,-0.3768
1.485,0.0689,-0.3793
1.490,0.0693,-0.3819
1.495,0.0698,-0.3844
1.500,0.0702,-0.3870
1.505,0.0707,-0.3896
1.510,0.0711,-0.3921
1.515,0.0716,-0.3947
1.520,0.0720,-0.3973
1.525,0.0725,-0.3999
1.530,0.0729,-0.4025
1.535,0.0734,-0.4051
1.540,0.0739,-0.4077
1.545,0.0743,-0.4104
1.550,0.0748,-0.4130
1.555,0.0752,-0.4157
1.560,0.0757,-0.4183
1.565,0.0762,-0.4210
1.570,0.0766,-0.4237
1.575,0.0771,-0.4263
1.580,0.0776,-0.4290
1.585,0.0781,-0.4317
1.590,0.0785,-0.4344
1.595,0.0790,-0.4372
1.600,0.0795,-0.4399
1.605,0.0800,-0.4426
1.610,0.0804,-0.4454
1.615,0.0809,-0.4481
1.620,0.0814,-0.4509
1.625,0.0819,-0.4536
1.630,0.0823,-0.4564
1.635,0.0828,-0.4592
1.640,0.0833,-0.4620
1.645,0.0838,-0.4648
1.650,0.0843,-0.4676
1.655,0.0848,-0.4704
1.660,0.0853,-0.4732
1.665,0.0858,-0.4761
1.670,0.0863,-0.4789
1.675,0.0868,-0.4817
1.680,0.0873,-0.4846
1.685,0.0878,-0.4875
1.690,0.0883,-0.4903
1.695,0.0888,-0.4932
1.700,0.0893,-0.4961
1.705,0.0898,-0.4990
1.710,0.0903,-0.5019
1.715,0.0908,-0.5048
1.720,0.0913,-0.5077
1.725,0.0919,-0.5106
1.730,0.0924,-0.5136
1.735,0.0929,-0.5165
1.740,0.0934,-0.5194
1.745,0.0939,-0.5224
1.750,0.0945,-0.5254
1.755,0.0950,-0.5283
1.760,0.0955,-0.5313
1.765,0.0960,-0.5343
1.770,0.0966,-0.5373
1.775,0.0971,-0.5403
1.780,0.0976,-0.5433
1.785,0.0982,-0.5463
1.790,0.0987,-0.5494
1.795,0.0992,-0.5524
1.800,0.0998,-0.5554
1.805,0.1003,-0.5585
1.810,0.1009,-0.5616
1.815,0.1014,-0.5646
1.820,0.1020,-0.5677
1.825,0.1025,-0.5708
1.830,0.1031,-0.5738
1.835,0.1036,-0.5769
1.840,0.1042,-0.5800
1.845,0.1048,-0.5831
1.850,0.1053,-0.5862
1.855,0.1059,-0.5894
1.860,0.1065,-0.5925
1.865,0.1071,-0.5956
1.870,0.1076,-0.5988
1.875,0.1082,-0.6019
1.880,0.1088,-0.6051
1.885,0.1093,-0.6083
1.890,0.1099,-0.6114
1.895,0.1105,-0.6146
1.900,0.1111,-0.6178
1.905,0.1116,-0.6210
1.910,0.1122,-0.6242
1.915,0.1128,-0.6275
1.920,0.1134,-0.6307
1.925,0.1140,-0.6339
1.930,0.1146,-0.6372
1.935,0.1152,-0.6404
1.940,0.1158,-0.6437
1.945,0.1163,-0.6470
1.950,0.1169,-0.6502
1.955,0.1175,-0.6535
1.960,0.1181,-0.6568
1.965,0.1187,-0.6601
1.970,0.1193,-0.6634
1.975,0.1199,-0.6667
1.980,0.1205,-0.6701
1.985,0.1211,-0.6734
1.990,0.1217,-0.6767
1.995,0.1223,-0.6801
2.000,0.1229,-0.6835
2.005,0.1235,-0.6868
2.010,0.1241,-0.6902
2.015,0.1247,-0.6936
2.020,0.1253,-0.6970
2.025,0.1259,-0.7004
2.030,0.1266,-0.7038
2.035,0.1272,-0.7072
2.040,0.1278,-0.7106
2.045,0.1284,-0.7141
2.050,0.1290,-0.7175
2.055,0.1296,-0.7210
2.060,0.1303,-0.7244
2.065,0.1309,-0.7279
2.070,0.1315,-0.7313
2.075,0.1321,-0.7348
2.080,0.1328,-0.7383
2.085,0.1334,-0.7418
2.090,0.1340,-0.7453
2.095,0.1347,-0.7488
2.100,0.1353,-0.7523
2.105,0.1359,-0.7558
2.110,0.1366,-0.7594
2.115,0.1372,-0.7629
2.120,0.1379,-0.7665
2.125,0.1385,-0.7700
2.130,0.1391,-0.7736
2.135,0.1398,-0.7771
2.140,0.1404,-0.7807
2.145,0.1411,-0.7843
2.150,0.1417,-0.7879
2.155,0.1424,-0.7915
2.160,0.1430,-0.7951
2.165,0.1437,-0.7988
2.170,0.1443,-0.8024
2.175,0.1450,-0.8060
2.180,0.1456,-0.8097
2.185,0.1463,-0.8133
2.190,0.1469,-0.8170
2.195,0.1476,-0.8207
2.200,0.1483,-0.8243
2.205,0.1489,-0.8280
2.210,0.1496,-0.8317
2.215,0.1503,-0.8354
2.220,0.1509,-0.8391
2.225,0.1516,-0.8428
2.230,0.1523,-0.8466
2.235,0.1530,-0.8503
2.240,0.1536,-0.8540
2.245,0.1543,-0.8578
2.250,0.1550,-0.8615
2.255,0.1557,-0.8653
2.260,0.1563,-0.8691
2.265,0.1570,-0.8728
2.270,0.1577,-0.8766
2.275,0.1584,-0.8804
2.280,0.1591,-0.8842
2.285,0.1598,-0.8880
2.290,0.1604,-0.8919
2.295,0.1611,-0.8957
2.300,0.1618,-0.8995
2.305,0.1625,-0.9034
2.310,0.1632,-0.9072
2.315,0.1639,-0.9111
2.320,0.1646,-0.9149
2.325,0.1653,-0.9188
2.330,0.1660,-0.9227
2.335,0.1667,-0.9266
2.340,0.1674,-0.9305
2.345,0.1681,-0.9344
2.350,0.1688,-0.9383
2.355,0.1695,-0.9422
2.360,0.1702,-0.9462
2.365,0.1709,-0.9501
2.370,0.1716,-0.9540
2.375,0.1723,-0.9580
2.380,0.1731,-0.9620
2.385,0.1738,-0.9659
2.390,0.1745,-0.9699
2.395,0.1752,-0.9739
2.400,0.1759,-0.9779
2.405,0.1766,-0.9819
2.410,0.1774,-0.9859
2.415,0.1781,-0.9899
2.420,0.1788,-0.9939
2.425,0.1795,-0.9980
2.430,0.1803,-1.0020
2.435,0.1810,-1.0061
2.440,0.1817,-1.0101
2.445,0.1824,-1.0142
2.450,0.1832,-1.0183
2.455,0.1839,-1.0223
2.460,0.1846,-1.0264
2.465,0.1854,-1.0305
2.470,0.1861,-1.0346
2.475,0.1868,-1.0387
2.480,0.1876,-1.0429
2.485,0.1883,-1.0470
2.490,0.1891,-1.0511
2.495,0.1898,-1.0553
2.500,0.1906,-1.0594
2.505,0.1913,-1.0636
2.510,0.1921,-1.0677
2.515,0.1928,-1.0719
2.520,0.1936,-1.0761
2.525,0.1943,-1.0803
2.530,0.1951,-1.0844
2.535,0.1959,-1.0886
2.540,0.1966,-1.0929
2.545,0.1974,-1.0971
2.550,0.1981,-1.1013
2.555,0.1989,-1.1055
2.560,0.1997,-1.1098
2.565,0.2005,-1.1140
2.570,0.2012,-1.1183
2.575,0.2020,-1.1225
2.580,0.2028,-1.1268
2.585,0.2035,-1.1311
2.590,0.2043,-1.1353
2.595,0.2051,-1.1396
2.600,0.2059,-1.1439
2.605,0.2067,-1.1482
2.610,0.2074,-1.1526
2.615,0.2082,-1.1569
2.620,0.2090,-1.1612
2.625,0.2098,-1.1655
2.630,0.2106,-1.1699
2.635,0.2114,-1.1742
2.640,0.2122,-1.1786
2.645,0.2130,-1.1830
2.650,0.2137,-1.1874
2.655,0.2145,-1.1918
2.660,0.2153,-1.1961
2.665,0.2161,-1.2006
2.670,0.2169,-1.2050
2.675,0.2177,-1.2094
2.680,0.2185,-1.2138
2.685,0.2193,-1.2182
2.690,0.2201,-1.2227
2.695,0.2210,-1.2271
2.700,0.2218,-1.2316
2.705,0.2226,-1.2360
2.710,0.2234,-1.2405
2.715,0.2242,-1.2450
2.720,0.2250,-1.2494
2.725,0.2259,-1.2539
2.730,0.2267,-1.2584
2.735,0.2275,-1.2629
2.740,0.2283,-1.2674
2.745,0.2292,-1.2719
2.750,0.2300,-1.2764
2.755,0.2308,-1.2810
2.760,0.2317,-1.2855
2.765,0.2325,-1.2901
2.770,0.2334,-1.2946
2.775,0.2342,-1.2992
2.780,0.2350,-1.3037
2.785,0.2359,-1.3083
2.790,0.2367,-1.3129
2.795,0.2376,-1.3175
2.800,0.2384,-1.3221
2.805,0.2393,-1.3267
2.810,0.2401,-1.3313
2.815,0.2410,-1.3359
2.820,0.2418,-1.3405
2.825,0.2427,-1.3452
2.830,0.2435,-1.3498
2.835,0.2444,-1.3545
2.840,0.2453,-1.3591
2.845,0.2461,-1.3638
2.850,0.2470,-1.3684
2.855,0.2479,-1.3731
2.860,0.2487,-1.3778
2.865,0.2496,-1.3825
2.870,0.2505,-1.3872
2.875,0.2513,-1.3919
2.880,0.2522,-1.3966
2.885,0.2531,-1.4013
2.890,0.2540,-1.4060
2.895,0.2549,-1.4108
2.900,0.2558,-1.4155
2.905,0.2567,-1.4202
2.910,0.2575,-1.4250
2.915,0.2584,-1.4298
2.920,0.2593,-1.4345
2.925,0.2602,-1.4393
2.930,0.2611,-1.4441
2.935,0.2620,-1.4489
2.940,0.2629,-1.4537
2.945,0.2638,-1.4585
2.950,0.2647,-1.4633
2.955,0.2656,-1.4682
2.960,0.2665,-1.4730
2.965,0.2674,-1.4778
2.970,0.2683,-1.4827
2.975,0.2692,-1.4875
2.980,0.2701,-1.4924
2.985,0.2710,-1.4973
2.990,0.2719,-1.5022
2.995,0.2728,-1.5071
3.000,0.2737,-1.5120
3.005,0.2746,-1.5169
3.010,0.2755,-1.5218
3.015,0.2764,-1.5267
3.020,0.2773,-1.5317
3.025,0.2782,-1.5366
3.030,0.2791,-1.5416
3.035,0.2800,-1.5465
3.040,0.2809,-1.5515
3.045,0.2819,-1.5565
3.050,0.2828,-1.5615
3.055,0.2837,-1.5664
3.060,0.2846,-1.5714
3.065,0.2855,-1.5764
3.070,0.2864,-1.5815
3.075,0.2874,-1.5865
3.080,0.2883,-1.5915
3.085,0.2892,-1.5965
3.090,0.2901,-1.6016
3.095,0.2911,-1.6066
3.100,0.2920,-1.6117
3.105,0.2929,-1.6167
3.110,0.2939,-1.6218
3.115,0.2948,-1.6269
3.120,0.2957,-1.6319
3.125,0.2967,-1.6370
3.130,0.2976,-1.6421
3.135,0.2986,-1.6472
3.140,0.2995,-1.6523
3.145,0.3005,-1.6574
3.150,0.3014,-1.6626
3.155,0.3024,-1.6677
3.160,0.3033,-1.6728
3.165,0.3043,-1.6780
3.170,0.3052,-1.6831
3.175,0.3062,-1.6883
3.180,0.3071,-1.6935
3.185,0.3081,-1.6986
3.190,0.3091,-1.7038
3.195,0.3100,-1.7090
3.200,0.3110,-1.7142
3.205,0.3119,-1.7194
3.210,0.3129,-1.7247
3.215,0.3139,-1.7299
3.220,0.3148,-1.7351
3.225,0.3158,-1.7404
3.230,0.3168,-1.7456
3.235,0.3178,-1.7509
3.240,0.3187,-1.7561
3.245,0.3197,-1.7614
3.250,0.3207,-1.7667
3.255,0.3217,-1.7719
3.260,0.3226,-1.7772
3.265,0.3236,-1.7825
3.270,0.3246,-1.7878
3.275,0.3256,-1.7931
3.280,0.3266,-1.7984
3.285,0.3276,-1.8038
3.290,0.3286,-1.8091
3.295,0.3296,-1.8144
3.300,0.3306,-1.8198
3.305,0.3316,-1.8251
3.310,0.3325,-1.8305
3.315,0.3335,-1.8359
3.320,0.3345,-1.8412
3.325,0.3355,-1.8466
3.330,0.3365,-1.8520
3.335,0.3375,-1.8574
3.340,0.3385,-1.8628
3.345,0.3395,-1.8683
3.350,0.3405,-1.8737
3.355,0.3415,-1.8791
3.360,0.3425,-1.8846
3.365,0.3436,-1.8900
3.370,0.3446,-1.8955
3.375,0.3456,-1.9009
3.380,0.3466,-1.9064
3.385,0.3476,-1.9119
3.390,0.3486,-1.9174
3.395,0.3496,-1.9229
3.400,0.3506,-1.9284
3.405,0.3516,-1.9339
3.410,0.3527,-1.9394
3.415,0.3537,-1.9449
3.420,0.3547,-1.9504
3.425,0.3557,-1.9560
3.430,0.3568,-1.9615
3.435,0.3578,-1.9670
3.440,0.3588,-1.9726
3.445,0.3599,-1.9781
3.450,0.3609,-1.9837
3.455,0.3620,-1.9893
3.460,0.3630,-1.9949
3.465,0.3641,-2.0004
3.470,0.3651,-2.0060
3.475,0.3662,-2.0116
3.480,0.3672,-2.0172
3.485,0.3683,-2.0229
3.490,0.3693,-2.0285
3.495,0.3704,-2.0341
3.500,0.3714,-2.0397
3.505,0.3725,-2.0454
3.510,0.3735,-2.0510
3.515,0.3746,-2.0567
3.520,0.3757,-2.0623
3.525,0.3767,-2.0680
3.530,0.3778,-2.0737
3.535,0.3789,-2.0794
3.540,0.3799,-2.0851
3.545,0.3810,-2.0908
3.550,0.3821,-2.0965
3.555,0.3832,-2.1022
3.560,0.3842,-2.1079
3.565,0.3853,-2.1136
3.570,0.3864,-2.1194
3.575,0.3875,-2.1251
3.580,0.3886,-2.1309
3.585,0.3896,-2.1366
3.590,0.3907,-2.1424
3.595,0.3918,-2.1482
3.600,0.3929,-2.1539
3.605,0.3940,-2.1597
3.610,0.3951,-2.1655
3.615,0.3961,-2.1713
3.620,0.3972,-2.1772
3.625,0.3983,-2.1830
3.630,0.3994,-2.1888
3.635,0.4005,-2.1946
3.640,0.4016,-2.2005
3.645,0.4027,-2.2063
3.650,0.4038,-2.2122
3.655,0.4049,-2.2180
3.660,0.4060,-2.2239
3.665,0.4071,-2.2298
3.670,0.4082,-2.2357
3.675,0.4093,-2.2416
3.680,0.4104,-2.2475
3.685,0.4115,-2.2534
3.690,0.4126,-2.2593
3.695,0.4138,-2.2652
3.700,0.4149,-2.2711
3.705,0.4160,-2.2770
3.710,0.4171,-2.2830
3.715,0.4182,-2.2889
3.720,0.4194,-2.2949
3.725,0.4205,-2.3008
3.730,0.4216,-2.3068
3.735,0.4227,-2.3128
3.740,0.4238,-2.3188
3.745,0.4250,-2.3248
3.750,0.4261,-2.3308
3.755,0.4272,-2.3368
3.760,0.4283,-2.3428
3.765,0.4295,-2.3488
3.770,0.4306,-2.3548
3.775,0.4318,-2.3609
3.780,0.4329,-2.3669
3.785,0.4340,-2.3730
3.790,0.4352,-2.3790
3.795,0.4363,-2.3851
3.800,0.4375,-2.3911
3.805,0.4386,-2.3972
3.810,0.4398,-2.4033
3.815,0.4409,-2.4094
3.820,0.4421,-2.4155
3.825,0.4432,-2.4216
3.830,0.4444,-2.4277
3.835,0.4455,-2.4338
3.840,0.4467,-2.4399
3.845,0.4478,-2.4461
3.850,0.4490,-2.4522
3.855,0.4502,-2.4583
3.860,0.4513,-2.4645
3.865,0.4525,-2.4707
3.870,0.4537,-2.4768
3.875,0.4548,-2.4830
3.880,0.4560,-2.4892
3.885,0.4572,-2.4953
3.890,0.4584,-2.5015
3.895,0.4596,-2.5077
3.900,0.4607,-2.5139
3.905,0.4619,-2.5201
3.910,0.4631,-2.5264
3.915,0.4643,-2.5326
3.920,0.4655,-2.5388
3.925,0.4666,-2.5451
3.930,0.4678,-2.5513
3.935,0.4690,-2.5576
3.940,0.4702,-2.5638
3.945,0.4714,-2.5701
3.950,0.4726,-2.5764
3.955,0.4738,-2.5827
3.960,0.4750,-2.5890
3.965,0.4762,-2.5953
3.970,0.4774,-2.6016
3.975,0.4786,-2.6079
3.980,0.4798,-2.6142
3.985,0.4810,-2.6206
3.990,0.4822,-2.6269
3.995,0.4834,-2.6332
4.000,0.4846,-2.6396
4.005,0.4858,-2.6459
4.010,0.4870,-2.6523
4.015,0.4882,-2.6587
4.020,0.4894,-2.6651
4.025,0.4906,-2.6715
4.030,0.4918,-2.6779
4.035,0.4930,-2.6843
4.040,0.4942,-2.6907
4.045,0.4954,-2.6971
4.050,0.4967,-2.7035
4.055,0.4979,-2.7099
4.060,0.4991,-2.7164
4.065,0.5003,-2.7228
4.070,0.5016,-2.7293
4.075,0.5028,-2.7357
4.080,0.5040,-2.7422
4.085,0.5052,-2.7487
4.090,0.5065,-2.7551
4.095,0.5077,-2.7616
4.100,0.5089,-2.7681
4.105,0.5102,-2.7746
4.110,0.5114,-2.7811
4.115,0.5126,-2.7876
4.120,0.5139,-2.7942
4.125,0.5151,-2.8007
4.130,0.5164,-2.8072
4.135,0.5176,-2.8138
4.140,0.5189,-2.8203
4.145,0.5201,-2.8269
4.150,0.5214,-2.8334
4.155,0.5226,-2.8400
4.160,0.5239,-2.8466
4.165,0.5251,-2.8532
4.170,0.5264,-2.8597
4.175,0.5276,-2.8663
4.180,0.5289,-2.8729
4.185,0.5301,-2.8796
4.190,0.5314,-2.8862
4.195,0.5327,-2.8928
4.200,0.5339,-2.8994
4.205,0.5352,-2.9061
4.210,0.5365,-2.9127
4.215,0.5377,-2.9194
4.220,0.5390,-2.9260
4.225,0.5403,-2.9327
4.230,0.5415,-2.9394
4.235,0.5428,-2.9460
4.240,0.5441,-2.9527
4.245,0.5454,-2.9594
4.250,0.5467,-2.9661
4.255,0.5479,-2.9728
4.260,0.5492,-2.9795
4.265,0.5505,-2.9862
4.270,0.5518,-2.9930
4.275,0.5531,-2.9997
4.280,0.5544,-3.0064
4.285,0.5557,-3.0132
4.290,0.5570,-3.0199
4.295,0.5583,-3.0267
4.300,0.5596,-3.0335
4.305,0.5609,-3.0402
4.310,0.5622,-3.0470
4.315,0.5635,-3.0538
4.320,0.5648,-3.0606
4.325,0.5661,-3.0674
4.330,0.5674,-3.0742
4.335,0.5687,-3.0810
4.340,0.5700,-3.0878
4.345,0.5713,-3.0947
4.350,0.5726,-3.1015
4.355,0.5739,-3.1083
4.360,0.5752,-3.1152
4.365,0.5765,-3.1221
4.370,0.5779,-3.1289
4.375,0.5792,-3.1358
4.380,0.5805,-3.1427
4.385,0.5818,-3.1496
4.390,0.5831,-3.1565
4.395,0.5845,-3.1633
4.400,0.5858,-3.1703
4.405,0.5871,-3.1772
4.410,0.5885,-3.1841
4.415,0.5898,-3.1910
4.420,0.5911,-3.1979
4.425,0.5925,-3.2048
4.430,0.5938,-3.2118
4.435,0.5952,-3.2187
4.440,0.5965,-3.2257
4.445,0.5979,-3.2326
4.450,0.5992,-3.2396
4.455,0.6006,-3.2466
4.460,0.6019,-3.2535
4.465,0.6033,-3.2605
4.470,0.6046,-3.2675
4.475,0.6060,-3.2745
4.480,0.6073,-3.2815
4.485,0.6087,-3.2885
4.490,0.6101,-3.2956
4.495,0.6114,-3.3026
4.500,0.6128,-3.3096
4.505,0.6141,-3.3167
4.510,0.6155,-3.3237
4.515,0.6169,-3.3308
4.520,0.6182,-3.3378
4.525,0.6196,-3.3449
4.530,0.6210,-3.3520
4.535,0.6224,-3.3591
4.540,0.6238,-3.3661
4.545,0.6251,-3.3732
4.550,0.6265,-3.3803
4.555,0.6279,-3.3874
4.560,0.6293,-3.3945
4.565,0.6307,-3.4017
4.570,0.6321,-3.4088
4.575,0.6335,-3.4159
4.580,0.6349,-3.4230
4.585,0.6362,-3.4302
4.590,0.6376,-3.4373
4.595,0.6390,-3.4445
4.600,0.6404,-3.4516
4.605,0.6418,-3.4588
4.610,0.6432,-3.4660
4.615,0.6447,-3.4732
4.620,0.6461,-3.4804
4.625,0.6475,-3.4876
4.630,0.6489,-3.4948
4.635,0.6503,-3.5020
4.640,0.6517,-3.5092
4.645,0.6531,-3.5164
4.650,0.6545,-3.5237
4.655,0.6559,-3.5309
