time,displacement
0.000,0.0000
0.001,0.0006
0.002,0.0023
0.003,0.0045
0.004,0.0068
0.005,0.0090
0.006,0.0104
0.007,0.0110
0.008,0.0104
0.009,0.0083
0.010,0.0048
0.011,-0.0004
0.012,-0.0073
0.013,-0.0158
0.014,-0.0258
0.015,-0.0371
0.016,-0.0496
0.017,-0.0630
0.018,-0.0771
0.019,-0.0914
0.020,-0.1057
0.021,-0.1196
0.022,-0.1328
0.023,-0.1449
0.024,-0.1556
0.025,-0.1646
0.026,-0.1717
0.027,-0.1765
0.028,-0.1790
0.029,-0.1790
0.030,-0.1764
0.031,-0.1713
0.032,-0.1637
0.033,-0.1536
0.034,-0.1413
0.035,-0.1270
0.036,-0.1110
0.037,-0.0934
0.038,-0.0748
0.039,-0.0555
0.040,-0.0357
0.041,-0.0161
0.042,0.0032
0.043,0.0216
0.044,0.0388
0.045,0.0546
0.046,0.0685
0.047,0.0803
0.048,0.0898
0.049,0.0969
0.050,0.1015
0.051,0.1035
0.052,0.1030
0.053,0.1000
0.054,0.0947
0.055,0.0873
0.056,0.0780
0.057,0.0672
0.058,0.0551
0.059,0.0422
0.060,0.0287
0.061,0.0150
0.062,0.0017
0.063,-0.0111
0.064,-0.0228
0.065,-0.0333
0.066,-0.0421
0.067,-0.0491
0.068,-0.0541
0.069,-0.0568
0.070,-0.0572
0.071,-0.0553
0.072,-0.0511
0.073,-0.0447
0.074,-0.0362
0.075,-0.0258
0.076,-0.0138
0.077,-0.0005
0.078,0.0139
0.079,0.0289
0.080,0.0442
0.081,0.0594
0.082,0.0741
0.083,0.0880
0.084,0.1007
0.085,0.1119
0.086,0.1212
0.087,0.1285
0.088,0.1336
0.089,0.1363
0.090,0.1364
0.091,0.1341
0.092,0.1293
0.093,0.1221
0.094,0.1127
0.095,0.1013
0.096,0.0880
0.097,0.0733
0.098,0.0575
0.099,0.0409
0.100,0.0238
0.101,0.0068
0.102,-0.0099
0.103,-0.0259
0.104,-0.0407
0.105,-0.0541
0.106,-0.0658
0.107,-0.0755
0.108,-0.0831
0.109,-0.0883
0.110,-0.0911
0.111,-0.0914
0.112,-0.0893
0.113,-0.0848
