time,acceleration
0.0,0.0000
0.1,3.0499
0.2,5.8012
0.3,7.9847
0.4,9.3866
0.5,9.8696
0.6,9.3866
0.7,7.9847
0.8,5.8012
0.9,3.0499
1.0,0.0000
