time,displacement
0.0,0.0000
0.1,0.1525
0.2,0.5950
0.3,1.2843
0.4,2.1529
0.5,3.1157
0.6,4.0785
0.7,4.9471
0.8,5.6364
0.9,6.0789
1.0,6.2314
