frequency(Hz),accel_x_0,accel_x_11,accel_x_14,accel_x_17,accel_x_18,accel_y_0,accel_y_11,accel_y_14,accel_y_17,accel_y_18,accel_z_0,accel_z_11,accel_z_14,accel_z_17,accel_z_18
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
4.882813E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
9.765625E-02,1.985098E-02,0.000000E+00,1.986682E-02,1.992908E-02,2.006246E-02,3.058232E-02,0.000000E+00,3.066598E-02,3.085223E-02,3.122638E-02,7.869516E-03,0.000000E+00,7.871439E-03,7.865657E-03,7.882916E-03
1.464844E-01,8.877389E-02,0.000000E+00,8.896607E-02,8.937786E-02,8.974969E-02,1.368118E-01,0.000000E+00,1.371376E-01,1.378246E-01,1.394452E-01,3.494019E-02,0.000000E+00,3.493379E-02,3.493103E-02,3.498210E-02
1.953125E-01,1.927547E-01,0.000000E+00,1.932396E-01,1.941637E-01,1.954317E-01,3.075178E-01,0.000000E+00,3.082231E-01,3.097854E-01,3.132570E-01,8.450520E-02,0.000000E+00,8.454589E-02,8.456712E-02,8.459234E-02
2.441406E-01,4.069828E-01,0.000000E+00,4.077680E-01,4.092576E-01,4.123619E-01,6.610516E-01,0.000000E+00,6.622912E-01,6.649891E-01,6.713517E-01,1.779755E-01,0.000000E+00,1.780763E-01,1.781845E-01,1.781639E-01
2.929688E-01,6.340869E-01,0.000000E+00,6.349832E-01,6.369134E-01,6.439455E-01,1.133705E+00,0.000000E+00,1.134983E+00,1.137156E+00,1.142789E+00,3.698895E-01,0.000000E+00,3.699911E-01,3.700898E-01,3.700957E-01
3.417969E-01,1.105499E+00,0.000000E+00,1.106916E+00,1.109700E+00,1.120387E+00,1.413956E+00,0.000000E+00,1.416006E+00,1.419540E+00,1.422553E+00,5.919237E-01,0.000000E+00,5.920531E-01,5.921479E-01,5.922001E-01
3.906250E-01,2.596978E+00,0.000000E+00,2.599650E+00,2.604766E+00,2.614278E+00,2.632746E+00,0.000000E+00,2.635940E+00,2.642194E+00,2.658381E+00,9.684128E-01,0.000000E+00,9.685702E-01,9.687228E-01,9.688947E-01
4.394531E-01,3.690152E+00,0.000000E+00,3.693181E+00,3.699095E+00,3.710575E+00,4.299344E+00,0.000000E+00,4.302664E+00,4.311374E+00,4.354789E+00,2.007274E+00,0.000000E+00,2.007639E+00,2.007967E+00,2.008149E+00
4.882813E-01,4.255206E+00,0.000000E+00,4.261135E+00,4.272239E+00,4.295964E+00,6.070407E+00,0.000000E+00,6.077606E+00,6.093890E+00,6.160304E+00,1.902650E+00,0.000000E+00,1.903241E+00,1.903755E+00,1.904052E+00
5.371094E-01,7.057524E+00,0.000000E+00,7.067730E+00,7.088150E+00,7.132638E+00,7.259017E+00,0.000000E+00,7.274465E+00,7.307766E+00,7.398860E+00,2.289399E+00,0.000000E+00,2.289740E+00,2.290066E+00,2.290226E+00
5.859375E-01,9.005752E+00,0.000000E+00,9.020139E+00,9.048794E+00,9.133687E+00,7.179303E+00,0.000000E+00,7.199240E+00,7.236416E+00,7.314741E+00,3.014314E+00,0.000000E+00,3.015069E+00,3.015738E+00,3.016165E+00
6.347656E-01,9.794668E+00,0.000000E+00,9.806949E+00,9.831861E+00,9.906891E+00,7.977841E+00,0.000000E+00,8.002638E+00,8.048913E+00,8.144771E+00,2.836132E+00,0.000000E+00,2.836839E+00,2.837484E+00,2.837917E+00
6.835937E-01,1.072780E+01,0.000000E+00,1.075254E+01,1.080208E+01,1.091756E+01,9.201178E+00,0.000000E+00,9.235758E+00,9.299428E+00,9.346753E+00,3.623175E+00,0.000000E+00,3.624481E+00,3.625650E+00,3.626404E+00
7.324219E-01,1.160720E+01,0.000000E+00,1.162802E+01,1.166818E+01,1.174853E+01,9.821521E+00,0.000000E+00,9.844709E+00,9.890783E+00,9.988873E+00,3.801701E+00,0.000000E+00,3.803139E+00,3.804431E+00,3.805292E+00
7.812500E-01,1.046319E+01,0.000000E+00,1.048351E+01,1.052444E+01,1.061998E+01,1.175541E+01,0.000000E+00,1.178345E+01,1.183911E+01,1.197983E+01,4.162848E+00,0.000000E+00,4.164725E+00,4.166454E+00,4.167622E+00
8.300781E-01,1.088842E+01,0.000000E+00,1.091801E+01,1.097599E+01,1.109360E+01,1.276949E+01,0.000000E+00,1.280346E+01,1.286467E+01,1.290736E+01,4.179280E+00,0.000000E+00,4.181284E+00,4.183093E+00,4.184303E+00
8.789063E-01,1.054385E+01,0.000000E+00,1.057598E+01,1.064034E+01,1.077168E+01,1.539304E+01,0.000000E+00,1.544131E+01,1.554011E+01,1.580358E+01,4.629767E+00,0.000000E+00,4.632277E+00,4.634558E+00,4.636137E+00
9.277344E-01,9.656408E+00,0.000000E+00,9.693649E+00,9.766444E+00,9.898079E+00,1.493410E+01,0.000000E+00,1.498271E+01,1.507723E+01,1.529377E+01,5.154010E+00,0.000000E+00,5.157787E+00,5.161205E+00,5.163481E+00
9.765625E-01,1.130639E+01,0.000000E+00,1.135263E+01,1.144170E+01,1.159264E+01,1.681261E+01,0.000000E+00,1.686565E+01,1.696465E+01,1.713295E+01,4.977989E+00,0.000000E+00,4.982839E+00,4.987314E+00,4.990391E+00
1.025391E+00,1.183894E+01,0.000000E+00,1.189201E+01,1.199573E+01,1.220797E+01,1.863581E+01,0.000000E+00,1.870448E+01,1.884295E+01,1.916704E+01,5.168118E+00,0.000000E+00,5.173347E+00,5.178167E+00,5.181435E+00
1.074219E+00,1.338350E+01,0.000000E+00,1.345185E+01,1.358476E+01,1.382316E+01,1.700270E+01,0.000000E+00,1.707783E+01,1.723614E+01,1.763976E+01,5.708970E+00,0.000000E+00,5.714130E+00,5.718776E+00,5.721835E+00
1.123047E+00,1.407804E+01,0.000000E+00,1.415325E+01,1.429965E+01,1.455267E+01,1.855523E+01,0.000000E+00,1.863437E+01,1.880106E+01,1.925070E+01,6.759735E+00,0.000000E+00,6.766534E+00,6.772675E+00,6.776729E+00
1.171875E+00,1.580436E+01,0.000000E+00,1.589171E+01,1.606159E+01,1.639021E+01,1.831805E+01,0.000000E+00,1.839402E+01,1.853230E+01,1.883180E+01,6.607166E+00,0.000000E+00,6.614246E+00,6.620560E+00,6.624615E+00
1.220703E+00,1.823451E+01,0.000000E+00,1.834155E+01,1.855113E+01,1.895572E+01,1.931784E+01,0.000000E+00,1.940784E+01,1.956645E+01,1.977626E+01,6.752567E+00,0.000000E+00,6.759809E+00,6.766248E+00,6.770383E+00
1.269531E+00,1.850036E+01,0.000000E+00,1.861568E+01,1.883863E+01,1.924009E+01,2.077945E+01,0.000000E+00,2.089560E+01,2.110991E+01,2.133644E+01,7.562227E+00,0.000000E+00,7.571666E+00,7.580129E+00,7.585654E+00
1.318359E+00,2.107263E+01,0.000000E+00,2.120308E+01,2.145841E+01,2.195474E+01,2.133767E+01,0.000000E+00,2.146394E+01,2.171641E+01,2.234676E+01,8.841670E+00,0.000000E+00,8.853390E+00,8.863995E+00,8.871040E+00
