frequency(Hz),accel_x_0,accel_x_11,accel_x_14,accel_x_17,accel_x_18,accel_y_0,accel_y_11,accel_y_14,accel_y_17,accel_y_18,accel_z_0,accel_z_11,accel_z_14,accel_z_17,accel_z_18
1.367187E+00,2.390218E+01,0.000000E+00,2.406382E+01,2.437851E+01,2.496062E+01,2.120470E+01,0.000000E+00,2.132815E+01,2.159530E+01,2.248381E+01,8.981772E+00,0.000000E+00,8.994322E+00,9.005651E+00,9.013146E+00
1.416016E+00,2.195892E+01,0.000000E+00,2.211274E+01,2.240961E+01,2.285474E+01,2.225309E+01,0.000000E+00,2.239409E+01,2.268938E+01,2.369543E+01,8.914627E+00,0.000000E+00,8.927316E+00,8.938759E+00,8.946381E+00
1.464844E+00,2.202839E+01,0.000000E+00,2.223080E+01,2.263400E+01,2.344110E+01,2.559037E+01,0.000000E+00,2.576192E+01,2.611668E+01,2.733271E+01,8.395098E+00,0.000000E+00,8.406664E+00,8.417090E+00,8.424027E+00
1.513672E+00,2.298739E+01,0.000000E+00,2.318665E+01,2.358538E+01,2.414520E+01,2.670654E+01,0.000000E+00,2.690795E+01,2.730354E+01,2.834391E+01,8.573019E+00,0.000000E+00,8.596014E+00,8.617175E+00,8.630353E+00
1.562500E+00,2.119699E+01,0.000000E+00,2.135789E+01,2.167343E+01,2.225692E+01,2.906106E+01,0.000000E+00,2.930311E+01,2.975910E+01,3.049191E+01,9.239889E+00,0.000000E+00,9.262930E+00,9.284326E+00,9.298026E+00
1.611328E+00,2.084142E+01,0.000000E+00,2.100123E+01,2.131428E+01,2.195358E+01,3.047065E+01,0.000000E+00,3.072234E+01,3.118019E+01,3.152633E+01,9.627611E+00,0.000000E+00,9.645979E+00,9.662419E+00,9.671868E+00
1.660156E+00,2.259619E+01,0.000000E+00,2.277514E+01,2.311835E+01,2.390611E+01,2.886450E+01,0.000000E+00,2.911198E+01,2.955774E+01,3.052376E+01,9.816241E+00,0.000000E+00,9.838252E+00,9.858823E+00,9.872110E+00
1.708984E+00,2.353783E+01,0.000000E+00,2.374522E+01,2.415868E+01,2.495582E+01,2.867170E+01,0.000000E+00,2.893243E+01,2.941364E+01,3.060858E+01,1.001036E+01,0.000000E+00,1.002888E+01,1.004556E+01,1.005654E+01
1.757813E+00,2.303889E+01,0.000000E+00,2.325488E+01,2.368300E+01,2.439659E+01,3.013467E+01,0.000000E+00,3.043240E+01,3.099952E+01,3.251108E+01,1.007506E+01,0.000000E+00,1.010322E+01,1.012939E+01,1.014613E+01
1.806641E+00,2.235851E+01,0.000000E+00,2.256335E+01,2.295687E+01,2.366332E+01,3.259480E+01,0.000000E+00,3.296411E+01,3.370087E+01,3.573211E+01,1.016102E+01,0.000000E+00,1.019190E+01,1.022048E+01,1.023874E+01
1.855469E+00,2.187544E+01,0.000000E+00,2.208053E+01,2.247203E+01,2.320330E+01,3.354844E+01,0.000000E+00,3.399292E+01,3.490751E+01,3.740662E+01,1.093221E+01,0.000000E+00,1.096996E+01,1.100374E+01,1.102554E+01
1.904297E+00,2.326422E+01,0.000000E+00,2.348985E+01,2.398678E+01,2.506558E+01,3.253442E+01,0.000000E+00,3.302810E+01,3.406278E+01,3.670573E+01,1.166292E+01,0.000000E+00,1.169585E+01,1.172560E+01,1.174530E+01
1.953125E+00,2.566179E+01,0.000000E+00,2.599929E+01,2.666420E+01,2.794200E+01,3.175504E+01,0.000000E+00,3.226748E+01,3.334336E+01,3.610699E+01,1.203721E+01,0.000000E+00,1.207228E+01,1.210392E+01,1.212482E+01
2.001953E+00,2.562626E+01,0.000000E+00,2.598238E+01,2.668084E+01,2.801129E+01,3.299316E+01,0.000000E+00,3.356345E+01,3.476198E+01,3.772101E+01,1.178940E+01,0.000000E+00,1.182410E+01,1.185530E+01,1.187572E+01
2.050781E+00,2.519394E+01,0.000000E+00,2.556190E+01,2.628182E+01,2.767804E+01,3.506089E+01,0.000000E+00,3.570570E+01,3.705025E+01,4.026874E+01,1.169247E+01,0.000000E+00,1.172775E+01,1.175966E+01,1.178088E+01
2.099609E+00,2.429473E+01,0.000000E+00,2.459072E+01,2.523157E+01,2.663247E+01,3.579789E+01,0.000000E+00,3.649279E+01,3.793061E+01,4.125059E+01,1.191362E+01,0.000000E+00,1.196075E+01,1.200738E+01,1.203835E+01
2.148437E+00,2.495217E+01,0.000000E+00,2.526286E+01,2.586545E+01,2.709637E+01,3.598716E+01,0.000000E+00,3.671287E+01,3.820219E+01,4.158128E+01,1.238921E+01,0.000000E+00,1.243391E+01,1.247448E+01,1.250102E+01
2.197266E+00,2.539437E+01,0.000000E+00,2.578556E+01,2.654950E+01,2.781164E+01,3.618780E+01,0.000000E+00,3.693308E+01,3.848707E+01,4.192728E+01,1.283100E+01,0.000000E+00,1.287317E+01,1.291003E+01,1.293198E+01
2.246094E+00,2.538497E+01,0.000000E+00,2.584279E+01,2.674473E+01,2.836235E+01,3.699787E+01,0.000000E+00,3.779932E+01,3.942926E+01,4.296405E+01,1.323380E+01,0.000000E+00,1.327530E+01,1.331102E+01,1.333072E+01
2.294922E+00,2.520799E+01,0.000000E+00,2.554160E+01,2.625143E+01,2.881199E+01,3.753300E+01,0.000000E+00,3.835347E+01,4.000347E+01,4.352932E+01,1.357632E+01,0.000000E+00,1.362969E+01,1.367978E+01,1.371530E+01
2.343750E+00,2.602800E+01,0.000000E+00,2.638412E+01,2.708042E+01,2.907817E+01,3.758001E+01,0.000000E+00,3.839988E+01,4.007657E+01,4.365778E+01,1.385880E+01,0.000000E+00,1.391834E+01,1.397431E+01,1.401377E+01
2.392578E+00,2.633053E+01,0.000000E+00,2.691575E+01,2.799083E+01,2.932971E+01,3.870194E+01,0.000000E+00,3.958711E+01,4.134311E+01,4.501200E+01,1.407890E+01,0.000000E+00,1.413413E+01,1.418335E+01,1.421343E+01
2.441406E+00,2.595699E+01,0.000000E+00,2.664983E+01,2.799302E+01,3.052522E+01,4.016584E+01,0.000000E+00,4.107905E+01,4.286118E+01,4.660715E+01,1.422725E+01,0.000000E+00,1.427564E+01,1.431880E+01,1.434622E+01
2.490234E+00,2.481214E+01,0.000000E+00,2.550742E+01,2.688322E+01,3.042982E+01,4.113759E+01,0.000000E+00,4.206683E+01,4.385346E+01,4.752679E+01,1.433928E+01,0.000000E+00,1.438575E+01,1.442843E+01,1.445733E+01
2.539063E+00,2.442926E+01,0.000000E+00,2.493585E+01,2.594722E+01,2.975940E+01,4.138419E+01,0.000000E+00,4.231019E+01,4.407283E+01,4.757866E+01,1.445733E+01,0.000000E+00,1.450016E+01,1.453813E+01,1.456149E+01
2.587891E+00,2.454527E+01,0.000000E+00,2.509969E+01,2.625472E+01,2.832997E+01,4.131316E+01,0.000000E+00,4.222610E+01,4.399675E+01,4.734741E+01,1.460269E+01,0.000000E+00,1.464829E+01,1.468838E+01,1.471285E+01
2.636719E+00,2.454768E+01,0.000000E+00,2.515184E+01,2.638884E+01,2.865992E+01,4.156663E+01,0.000000E+00,4.248201E+01,4.430792E+01,4.753947E+01,1.477709E+01,0.000000E+00,1.483603E+01,1.489038E+01,1.492719E+01
2.685547E+00,2.446926E+01,0.000000E+00,2.510074E+01,2.639373E+01,2.888610E+01,4.192557E+01,0.000000E+00,4.289102E+01,4.471949E+01,4.784486E+01,1.496405E+01,0.000000E+00,1.503220E+01,1.509505E+01,1.513784E+01
2.734375E+00,2.435670E+01,0.000000E+00,2.500483E+01,2.633241E+01,2.906173E+01,4.250607E+01,0.000000E+00,4.348977E+01,4.534620E+01,4.841182E+01,1.515134E+01,0.000000E+00,1.522266E+01,1.528710E+01,1.532950E+01
2.783203E+00,2.424965E+01,0.000000E+00,2.490497E+01,2.624954E+01,2.922312E+01,4.314570E+01,0.000000E+00,4.416234E+01,4.607229E+01,4.909654E+01,1.533014E+01,0.000000E+00,1.540717E+01,1.547495E+01,1.551647E+01
2.832031E+00,2.416037E+01,0.000000E+00,2.481643E+01,2.616359E+01,2.937869E+01,4.326056E+01,0.000000E+00,4.430529E+01,4.626467E+01,4.921375E+01,1.550103E+01,0.000000E+00,1.558930E+01,1.566816E+01,1.571858E+01
2.880859E+00,2.407407E+01,0.000000E+00,2.472816E+01,2.606653E+01,2.949178E+01,4.255735E+01,0.000000E+00,4.360934E+01,4.559287E+01,4.855465E+01,1.564658E+01,0.000000E+00,1.574908E+01,1.584279E+01,1.590651E+01
2.929688E+00,2.395479E+01,0.000000E+00,2.460720E+01,2.592961E+01,2.950362E+01,4.134459E+01,0.000000E+00,4.238631E+01,4.437950E+01,4.740450E+01,1.576237E+01,0.000000E+00,1.587838E+01,1.598596E+01,1.606156E+01
2.978516E+00,2.375542E+01,0.000000E+00,2.440746E+01,2.571278E+01,2.936782E+01,4.013854E+01,0.000000E+00,4.118167E+01,4.317708E+01,4.633691E+01,1.583878E+01,0.000000E+00,1.596380E+01,1.607949E+01,1.616016E+01
3.027344E+00,2.342890E+01,0.000000E+00,2.408123E+01,2.537479E+01,2.904653E+01,3.927902E+01,0.000000E+00,4.031857E+01,4.235252E+01,4.565421E+01,1.586116E+01,0.000000E+00,1.598930E+01,1.610614E+01,1.618476E+01
3.076172E+00,2.293847E+01,0.000000E+00,2.359101E+01,2.488131E+01,3.149500E+01,3.858271E+01,0.000000E+00,3.963735E+01,4.170242E+01,4.522732E+01,1.581367E+01,0.000000E+00,1.594636E+01,1.606725E+01,1.614874E+01
3.125000E+00,2.320545E+01,0.000000E+00,2.413761E+01,2.616066E+01,3.522838E+01,3.781657E+01,0.000000E+00,3.886985E+01,4.097902E+01,4.474000E+01,1.570907E+01,0.000000E+00,1.584065E+01,1.595834E+01,1.603491E+01
3.173828E+00,2.467817E+01,0.000000E+00,2.562651E+01,2.777730E+01,3.803595E+01,3.706835E+01,0.000000E+00,3.813098E+01,4.026136E+01,4.418753E+01,1.550125E+01,0.000000E+00,1.563198E+01,1.574780E+01,1.582246E+01
3.222656E+00,2.558695E+01,0.000000E+00,2.660229E+01,2.889381E+01,3.995588E+01,3.666389E+01,0.000000E+00,3.774826E+01,3.992481E+01,4.413593E+01,1.616196E+01,0.000000E+00,1.629741E+01,1.642036E+01,1.650286E+01
3.271484E+00,2.594723E+01,0.000000E+00,2.702606E+01,2.948305E+01,4.073001E+01,3.663667E+01,0.000000E+00,3.774690E+01,4.001097E+01,4.453953E+01,1.652691E+01,0.000000E+00,1.667383E+01,1.680596E+01,1.689300E+01
3.320313E+00,2.593766E+01,0.000000E+00,2.709653E+01,2.969259E+01,4.077622E+01,3.655853E+01,0.000000E+00,3.770652E+01,4.005059E+01,4.498755E+01,1.680438E+01,0.000000E+00,1.696479E+01,1.710949E+01,1.720528E+01
3.369141E+00,2.567497E+01,0.000000E+00,2.688689E+01,2.955838E+01,4.153768E+01,3.614437E+01,0.000000E+00,3.729941E+01,3.967944E+01,4.504826E+01,1.719276E+01,0.000000E+00,1.736511E+01,1.752104E+01,1.762448E+01
3.417969E+00,2.529850E+01,0.000000E+00,2.654471E+01,2.921624E+01,4.274356E+01,3.544018E+01,0.000000E+00,3.660335E+01,3.900468E+01,4.462821E+01,1.734682E+01,0.000000E+00,1.752903E+01,1.769444E+01,1.780480E+01
3.466797E+00,2.496179E+01,0.000000E+00,2.628125E+01,2.907763E+01,4.374467E+01,3.481557E+01,0.000000E+00,3.596358E+01,3.835759E+01,4.432979E+01,1.744382E+01,0.000000E+00,1.763202E+01,1.780270E+01,1.791594E+01
3.515625E+00,2.520997E+01,0.000000E+00,2.632766E+01,2.927286E+01,4.469717E+01,3.430161E+01,0.000000E+00,3.546336E+01,3.788632E+01,4.412417E+01,1.749647E+01,0.000000E+00,1.768848E+01,1.786222E+01,1.797665E+01
3.564453E+00,2.631608E+01,0.000000E+00,2.756637E+01,3.008647E+01,4.564998E+01,3.359684E+01,0.000000E+00,3.476159E+01,3.719640E+01,4.365994E+01,1.749937E+01,0.000000E+00,1.769350E+01,1.786892E+01,1.798374E+01
3.613281E+00,2.729375E+01,0.000000E+00,2.868434E+01,3.150749E+01,4.671953E+01,3.273458E+01,0.000000E+00,3.385437E+01,3.625350E+01,4.290091E+01,1.739483E+01,0.000000E+00,1.758940E+01,1.776527E+01,1.788027E+01
3.662109E+00,2.810124E+01,0.000000E+00,2.960491E+01,3.267682E+01,4.772779E+01,3.189686E+01,0.000000E+00,3.300627E+01,3.536277E+01,4.213857E+01,1.712508E+01,0.000000E+00,1.731779E+01,1.750193E+01,1.762623E+01
3.710937E+00,2.865115E+01,0.000000E+00,3.025515E+01,3.354570E+01,4.854925E+01,3.118616E+01,0.000000E+00,3.228948E+01,3.464009E+01,4.149392E+01,1.729746E+01,0.000000E+00,1.750103E+01,1.768577E+01,1.780761E+01
3.759766E+00,2.892828E+01,0.000000E+00,3.061463E+01,3.409047E+01,4.914578E+01,3.068937E+01,0.000000E+00,3.179655E+01,3.418695E+01,4.109347E+01,1.739736E+01,0.000000E+00,1.760839E+01,1.779996E+01,1.792643E+01
3.808594E+00,2.894706E+01,0.000000E+00,3.069354E+01,3.432164E+01,4.953613E+01,3.057988E+01,0.000000E+00,3.173127E+01,3.420991E+01,4.122071E+01,1.756315E+01,0.000000E+00,1.776902E+01,1.795494E+01,1.807747E+01
3.857422E+00,2.874795E+01,0.000000E+00,3.053154E+01,3.427798E+01,4.979320E+01,3.083056E+01,0.000000E+00,3.205358E+01,3.464288E+01,4.189558E+01,1.784299E+01,0.000000E+00,1.805830E+01,1.825280E+01,1.838100E+01
3.906250E+00,2.838668E+01,0.000000E+00,3.018705E+01,3.401307E+01,5.002848E+01,3.132397E+01,0.000000E+00,3.261463E+01,3.534897E+01,4.298726E+01,1.834958E+01,0.000000E+00,1.856351E+01,1.875611E+01,1.888237E+01
3.955078E+00,2.792052E+01,0.000000E+00,2.972067E+01,3.358065E+01,5.036942E+01,3.205861E+01,0.000000E+00,3.340983E+01,3.632601E+01,4.450790E+01,1.909176E+01,0.000000E+00,1.932136E+01,1.952815E+01,1.966344E+01
4.003906E+00,2.739381E+01,0.000000E+00,2.918136E+01,3.309884E+01,5.093209E+01,3.297462E+01,0.000000E+00,3.441117E+01,3.748812E+01,4.642358E+01,1.997988E+01,0.000000E+00,2.021611E+01,2.042836E+01,2.056613E+01
4.052734E+00,2.687391E+01,0.000000E+00,2.868077E+01,3.258317E+01,5.186098E+01,3.382860E+01,0.000000E+00,3.536944E+01,3.867000E+01,4.840179E+01,2.085181E+01,0.000000E+00,2.109877E+01,2.132087E+01,2.146484E+01
4.101563E+00,2.632567E+01,0.000000E+00,2.809728E+01,3.192766E+01,5.312278E+01,3.441794E+01,0.000000E+00,3.599318E+01,3.943444E+01,4.996933E+01,2.156396E+01,0.000000E+00,2.182346E+01,2.205803E+01,2.221163E+01
4.150391E+00,2.566013E+01,0.000000E+00,2.736988E+01,3.147469E+01,5.464231E+01,3.460531E+01,0.000000E+00,3.624396E+01,3.979886E+01,5.089447E+01,2.197008E+01,0.000000E+00,2.223968E+01,2.248484E+01,2.264787E+01
4.199219E+00,2.556948E+01,0.000000E+00,2.759974E+01,3.232296E+01,5.626936E+01,3.446598E+01,0.000000E+00,3.608837E+01,3.966561E+01,5.135770E+01,2.195323E+01,0.000000E+00,2.222535E+01,2.247377E+01,2.264007E+01
4.248047E+00,2.617593E+01,0.000000E+00,2.831428E+01,3.325320E+01,5.779348E+01,3.412083E+01,0.000000E+00,3.576545E+01,3.937083E+01,5.138096E+01,2.145328E+01,0.000000E+00,2.171336E+01,2.195350E+01,2.211316E+01
4.296875E+00,2.673435E+01,0.000000E+00,2.890700E+01,3.403282E+01,5.899841E+01,3.370993E+01,0.000000E+00,3.537001E+01,3.901999E+01,5.129024E+01,2.056559E+01,0.000000E+00,2.079685E+01,2.100435E+01,2.113870E+01
4.345703E+00,2.710062E+01,0.000000E+00,2.936814E+01,3.448515E+01,5.972804E+01,3.347939E+01,0.000000E+00,3.511872E+01,3.881387E+01,5.138907E+01,1.963633E+01,0.000000E+00,1.991090E+01,2.017537E+01,2.037306E+01
4.394531E+00,2.717837E+01,0.000000E+00,2.949189E+01,3.475731E+01,5.994023E+01,3.343895E+01,0.000000E+00,3.512172E+01,3.883735E+01,5.187083E+01,2.051902E+01,0.000000E+00,2.084495E+01,2.115896E+01,2.139499E+01
4.443359E+00,2.710870E+01,0.000000E+00,2.942637E+01,3.466976E+01,5.972660E+01,3.356448E+01,0.000000E+00,3.530595E+01,3.915180E+01,5.268875E+01,2.138688E+01,0.000000E+00,2.173523E+01,2.207006E+01,2.232019E+01
4.492188E+00,2.679632E+01,0.000000E+00,2.915239E+01,3.430276E+01,5.935042E+01,3.381468E+01,0.000000E+00,3.562792E+01,3.963770E+01,5.374814E+01,2.211270E+01,0.000000E+00,2.247796E+01,2.281764E+01,2.305303E+01
4.541016E+00,2.639090E+01,0.000000E+00,2.874924E+01,3.393854E+01,5.908361E+01,3.411523E+01,0.000000E+00,3.596650E+01,4.014967E+01,5.486620E+01,2.275014E+01,0.000000E+00,2.313525E+01,2.349322E+01,2.374065E+01
4.589844E+00,2.607807E+01,0.000000E+00,2.838249E+01,3.404435E+01,5.900931E+01,3.437198E+01,0.000000E+00,3.629938E+01,4.054195E+01,5.573074E+01,2.327474E+01,0.000000E+00,2.365576E+01,2.399265E+01,2.419842E+01
4.638672E+00,2.588153E+01,0.000000E+00,2.822903E+01,3.438221E+01,5.927226E+01,3.435835E+01,0.000000E+00,3.633964E+01,4.071060E+01,5.615115E+01,2.369734E+01,0.000000E+00,2.409501E+01,2.444691E+01,2.466192E+01
4.687500E+00,2.587348E+01,0.000000E+00,2.828268E+01,3.486254E+01,5.989355E+01,3.417815E+01,0.000000E+00,3.616813E+01,4.052627E+01,5.635618E+01,2.397314E+01,0.000000E+00,2.437649E+01,2.472308E+01,2.492098E+01
4.736328E+00,2.605831E+01,0.000000E+00,2.855009E+01,3.551245E+01,6.103443E+01,3.386990E+01,0.000000E+00,3.588433E+01,4.029988E+01,5.625424E+01,2.421761E+01,0.000000E+00,2.463484E+01,2.499373E+01,2.519876E+01
4.785156E+00,2.637912E+01,0.000000E+00,2.897028E+01,3.645152E+01,6.319673E+01,3.347494E+01,0.000000E+00,3.550385E+01,3.996489E+01,5.602230E+01,2.429996E+01,0.000000E+00,2.472821E+01,2.509678E+01,2.530721E+01
4.833984E+00,2.678190E+01,0.000000E+00,2.943979E+01,3.748755E+01,6.544956E+01,3.308965E+01,0.000000E+00,3.511947E+01,3.958247E+01,5.575292E+01,2.432808E+01,0.000000E+00,2.479805E+01,2.521107E+01,2.546353E+01
4.882813E+00,2.723358E+01,0.000000E+00,2.987071E+01,3.841707E+01,6.781435E+01,3.276035E+01,0.000000E+00,3.480887E+01,3.927045E+01,5.552283E+01,2.435196E+01,0.000000E+00,2.483268E+01,2.525526E+01,2.551331E+01
4.931641E+00,2.756875E+01,0.000000E+00,3.031269E+01,3.911107E+01,7.019600E+01,3.247870E+01,0.000000E+00,3.455020E+01,3.907465E+01,5.544159E+01,2.431344E+01,0.000000E+00,2.480369E+01,2.523473E+01,2.549761E+01
4.980469E+00,2.775177E+01,0.000000E+00,3.055791E+01,3.973147E+01,7.220424E+01,3.230492E+01,0.000000E+00,3.441112E+01,3.902398E+01,5.571702E+01,2.425560E+01,0.000000E+00,2.475499E+01,2.523632E+01,2.559020E+01
5.029297E+00,2.790407E+01,0.000000E+00,3.057645E+01,4.013308E+01,7.373648E+01,3.229062E+01,0.000000E+00,3.445043E+01,3.919289E+01,5.632166E+01,2.422344E+01,0.000000E+00,2.480076E+01,2.533425E+01,2.569619E+01
5.078125E+00,2.784501E+01,0.000000E+00,3.057863E+01,4.015753E+01,7.474279E+01,3.245309E+01,0.000000E+00,3.468923E+01,3.979809E+01,5.727383E+01,2.433820E+01,0.000000E+00,2.492985E+01,2.547661E+01,2.584725E+01
5.126953E+00,2.768481E+01,0.000000E+00,3.034301E+01,3.988922E+01,7.582845E+01,3.277846E+01,0.000000E+00,3.511042E+01,4.192579E+01,5.866862E+01,2.451853E+01,0.000000E+00,2.512612E+01,2.568762E+01,2.606800E+01
5.175781E+00,2.742412E+01,0.000000E+00,2.992503E+01,3.957281E+01,7.638310E+01,3.317944E+01,0.000000E+00,3.562399E+01,4.418444E+01,6.266486E+01,2.477217E+01,0.000000E+00,2.539762E+01,2.597558E+01,2.636689E+01
