t (sec),x (g),y (g),z (g)
0,0,0,0
0.006324555,-0.000673815,0.004569698,0.000627596
0.012649111,-0.000498011,0.005003156,0.000512595
0.018973666,-0.000368113,0.005414209,0.000573355
0.025298221,-0.000317007,0.005782616,0.000926721
0.031622777,-0.000356111,0.006092449,0.001590504
0.037947332,-0.000474353,0.00633395,0.002474881
0.044271887,-0.000644731,0.006504631,0.003408016
0.050596443,-0.000835805,0.006609021,0.004187695
0.056920998,-0.001023695,0.00665681,0.004642638
0.063245553,-0.001200038,0.006659645,0.004684266
0.069570109,-0.001372923,0.006627558,0.004332988
0.075894664,-0.001560562,0.006566315,0.003711248
0.082219219,-0.001780266,0.006476894,0.003006107
0.088543774,-0.002037153,0.006357516,0.002413409
0.09486833,-0.00231727,0.006207606,0.002080967
0.101192885,-0.002588176,0.006032106,0.002067931
0.10751744,-0.002807311,0.005844118,0.00233202
0.113841996,-0.002935442,0.005664336,0.002747426
0.120166551,-0.002950415,0.005516832,0.00314687
0.126491106,-0.002856094,0.005422345,0.003374317
0.132815662,-0.002682857,0.005391363,0.003332249
0.139140217,-0.002478969,0.005419742,0.003009744
0.145464772,-0.002295408,0.005488861,0.002483791
0.151789328,-0.002169216,0.005570742,0.00189445
0.158113883,-0.002111172,0.00563662,0.001401975
0.164438438,-0.002102335,0.005666013,0.001138862
0.170762994,-0.002101017,0.00565289,0.00117075
0.177087549,-0.002058196,0.005606492,0.001477099
0.183412104,-0.001936328,0.005546271,0.001956733
0.18973666,-0.001725154,0.005492695,0.002456251
0.196061215,-0.001448884,0.005457391,0.002813087
0.20238577,-0.00116191,0.005436523,0.002901048
0.208710326,-0.000933985,0.005410242,0.002665651
0.215034881,-0.000829431,0.005348815,0.002139423
0.221359436,-0.000887096,0.005223405,0.001432901
0.227683992,-0.001107681,0.005017587,0.000703804
0.234008547,-0.001452786,0.004735131,0.000113015
0.240333102,-0.00185614,0.004400811,-0.00022013
0.246657657,-0.002243468,0.004053522,-0.000250373
0.252982213,-0.002554474,0.003733892,-1.74E-05
0.259306768,-0.002759718,0.003470781,0.000368432
0.265631323,-0.002866842,0.003271689,0.00076056
0.271955879,-0.002914208,0.003120786,0.001021465
0.278280434,-0.002954329,0.002985588,0.001063579
0.284604989,-0.003032922,0.002830026,0.000873714
0.290929545,-0.003170897,0.002629234,0.00051309
0.2972541,-0.003355545,0.002380562,9.32E-05
