t (sec),x (g),y (g),z (g)
0.303578655,-0.003543957,0.002106591,-0.000264326
0.309903211,-0.003677427,0.00184881,-0.000470347
0.316227766,-0.003701819,0.001654024,-0.000498715
0.322552321,-0.00358684,0.001558344,-0.000394289
0.328876877,-0.003337593,0.001574524,-0.000255548
0.335201432,-0.002994531,0.00168732,-0.000197699
0.341525987,-0.002621925,0.001858586,-0.000308944
0.347850543,-0.002288843,0.002040299,-0.000614974
0.354175098,-0.002049074,0.002190777,-0.001064005
0.360499653,-0.001926585,0.00228816,-0.001537684
0.366824209,-0.001911011,0.0023363,-0.001884419
0.373148764,-0.001964209,0.002360972,-0.00196432
0.379473319,-0.002035157,0.002397985,-0.001691296
0.385797875,-0.002077935,0.002477745,-0.00105933
0.39212243,-0.00206676,0.002612154,-0.000145603
0.398446985,-0.002003427,0.002788868,0.000909087
0.404771541,-0.001915273,0.002975168,0.001935051
0.411096096,-0.001845,0.003130101,0.002772117
0.417420651,-0.001836216,0.00322046,0.003300498
0.423745206,-0.001919626,0.003234658,0.003456879
0.430069762,-0.002104125,0.003189312,0.003234426
0.436394317,-0.002375082,0.003125924,0.002670835
0.442718872,-0.00269959,0.003098706,0.001831604
0.449043428,-0.003036251,0.003157734,0.000795497
0.455367983,-0.003345954,0.003333348,-0.000353751
0.461692538,-0.003600287,0.003627186,-0.001529563
0.468017094,-0.003785469,0.004012788,-0.002641944
0.474341649,-0.003901495,0.004445212,-0.003598876
0.480666204,-0.003957796,0.004875833,-0.004313057
0.48699076,-0.003967623,0.005266715,-0.004714241
0.493315315,-0.003943327,0.00559928,-0.004763966
0.49963987,-0.003893854,0.005874306,-0.004467344
0.505964426,-0.003824565,0.006103725,-0.003876766
0.512288981,-0.003738453,0.006297894,-0.003084854
0.518613536,-0.00363736,0.006453798,-0.002207868
0.524938092,-0.00352207,0.006549308,-0.001364299
0.531262647,-0.003391019,0.006546248,-0.000655224
0.537587202,-0.003238351,0.006401539,-0.000152222
0.543911758,-0.003052761,0.006082493,0.00010441
0.550236313,-0.002818512,0.005580508,9.86E-05
0.556560868,-0.002519304,0.004917905,-0.000172235
0.562885424,-0.002144327,0.004145115,-0.000705455
0.569209979,-0.001694592,0.003329006,-0.00149319
0.575534534,-0.001186941,0.002536477,-0.002513341
0.581859089,-0.00065345,0.001819141,-0.003714625
0.588183645,-0.000135325,0.001204453,-0.005003077
0.5945082,0.000327558,0.000696017,-0.006238462
0.600832755,0.000708357,0.000282216,-0.007246811
0.607157311,0.001002012,-5.09E-05,-0.007850006
0.613481866,0.001227265,-0.000308453,-0.007906804
0.619806421,0.001420167,-0.000481364,-0.007354129
0.626130977,0.001620336,-0.000550523,-0.006235208
0.632455532,0.001854271,-0.00049759,-0.004703314
0.638780087,0.002121846,-0.000318776,-0.002996306
0.645104643,0.002391825,-3.54E-05,-0.001385954
0.651429198,0.002609618,0.000303352,-0.000114456
0.657753753,0.002716244,0.000628237,0.000664301
0.664078309,0.002672953,0.000864967,0.00092139
0.670402864,0.002482981,0.000952798,0.000755844
0.676727419,0.002201676,0.000859437,0.000362275
0.683051975,0.001929369,0.000587233,-2.77E-05
0.68937653,0.001786934,0.000168435,-0.000212909
0.695701085,0.001880319,-0.000348791,-7.80E-05
0.702025641,0.002265075,-0.000918518,0.000379182
0.708350196,0.002923179,-0.001512902,0.001056781
0.714674751,0.003761359,-0.002130099,0.001789832
0.720999307,0.004633479,-0.002791602,0.002408544
0.727323862,0.00538133,-0.003530185,0.002793576
0.733648417,0.005881364,-0.004373011,0.002909461
0.739972972,0.006081971,-0.005326167,0.002805136
0.746297528,0.006018253,-0.006366285,0.002582369
0.752622083,0.005798366,-0.007442298,0.00234447
0.758946638,0.005565126,-0.008486757,0.002145
0.765271194,0.005445356,-0.009432705,0.001956508
0.771595749,0.005504312,-0.010230191,0.001672471
0.777920304,0.005721356,-0.010856668,0.001143763
0.78424486,0.005996141,-0.011317711,0.000238298
0.790569415,0.006184081,-0.011637946,-0.001096511
0.79689397,0.006149409,-0.011845493,-0.002791031
0.803218526,0.005817457,-0.011955595,-0.004647329
0.809543081,0.005207402,-0.01195942,-0.00637498
0.815867636,0.00443297,-0.011822378,-0.007660298
0.822192192,0.00366948,-0.01149307,-0.008249242
0.828516747,0.003097428,-0.010920384,-0.008019274
0.834841302,0.002841365,-0.010073351,-0.007018393
0.841165858,0.002925082,-0.008957229,-0.005459348
0.847490413,0.003259118,-0.007620236,-0.003670546
0.853814968,0.003665928,-0.006148106,-0.002017865
0.860139524,0.003935327,-0.004647435,-0.000819654
0.866464079,0.003892376,-0.003222293,-0.000278202
0.872788634,0.003455397,-0.001950783,-0.000444958
0.87911319,0.002664793,-0.000868373,-0.001226034
0.885437745,0.001672871,3.72E-05,-0.002422571
0.8917623,0.000697809,0.000818064,-0.003791117
0.898086855,-4.33E-05,0.001548154,-0.005104997
0.904411411,-0.000400807,0.002300414,-0.006199471
0.910735966,-0.000336037,0.003126471,-0.006990393
0.917060521,7.03E-05,0.004044642,-0.007465348
0.923385077,0.000648284,0.005039442,-0.007655014
0.929709632,0.00119586,0.006071852,-0.007597915
0.936034187,0.001544202,0.007096053,-0.007312557
0.942358743,0.001609572,0.008076289,-0.006787123
0.948683298,0.001415376,0.008997615,-0.005990034
0.955007853,0.0010781,0.009866574,-0.004897061
0.961332409,0.000762926,0.010701492,-0.003524738
0.967656964,0.000624628,0.011515839,-0.001957359
0.973981519,0.000753779,0.012300769,-0.000356475
0.980306075,0.001146021,0.013013479,0.001052954
0.98663063,0.001704137,0.013576345,0.002018568
0.992955185,0.002271649,0.013888296,0.002310754
0.999279741,0.002686363,0.013845877,0.001774419
1.005604296,0.002835986,0.013368144,0.000368949
1.011928851,0.002697536,0.012418051,-0.001814193
1.018253407,0.00234774,0.011013884,-0.004560965
1.024577962,0.001941028,0.009227181,-0.007569127
1.030902517,0.001661982,0.007167622,-0.010499119
1.037227073,0.001667036,0.004959269,-0.013029424
1.043551628,0.002033354,0.002715026,-0.01490412
1.049876183,0.002730454,0.000516598,-0.015963301
1.056200738,0.003623072,-0.001594633,-0.016152099
1.062525294,0.004504352,-0.0036138,-0.015509727
1.068849849,0.005149516,-0.005557829,-0.014144528
1.075174404,0.005374334,-0.00744505,-0.012203445
1.08149896,0.005081677,-0.009275991,-0.009844172
1.087823515,0.004283205,-0.011021635,-0.007215926
1.09414807,0.00309075,-0.012622885,-0.004451286
1.100472626,0.001680816,-0.01400134,-0.001667878
1.106797181,0.000243263,-0.015077842,0.001023977
1.113121736,-0.001070427,-0.015792795,0.003512808
1.119446292,-0.002184227,-0.016121751,0.005681528
1.125770847,-0.003109603,-0.016081335,0.007410118
1.132095402,-0.003929847,-0.015723796,0.008586261
1.138419958,-0.00476247,-0.015122199,0.009122198
1.144744513,-0.005712073,-0.014351305,0.008974007
1.151069068,-0.006828943,-0.013470533,0.008158328
1.157393624,-0.008086773,-0.012514569,0.006761478
1.163718179,-0.009386868,-0.011494435,0.00493715
1.170042734,-0.010587712,-0.010408141,0.00289113
1.17636729,-0.011550553,-0.009256658,0.000854444
1.182691845,-0.012186181,-0.008059038,-0.000950703
1.1890164,-0.012487267,-0.006860822,-0.002345596
1.195340956,-0.012534836,-0.0057322,-0.003222892
1.201665511,-0.012475502,-0.004756053,-0.00356132
1.207990066,-0.012475547,-0.004009564,-0.003423581
1.214314622,-0.0126657,-0.003545413,-0.002937687
1.220639177,-0.01309408,-0.003378694,-0.002265999
1.226963732,-0.013702778,-0.003483758,-0.001569286
1.233288287,-0.014336581,-0.003801742,-0.000974293
1.239612843,-0.014782333,-0.004255983,-0.000552205
1.245937398,-0.01482771,-0.004770028,-0.000312404
1.252261953,-0.01432177,-0.005282479,-0.000211739
1.258586509,-0.01321874,-0.005754413,-0.000175504
1.264911064,-0.011591546,-0.00616814,-0.00012354
1.271235619,-0.0096109,-0.006519226,5.94E-06
1.277560175,-0.007496605,-0.006805975,0.00024089
1.28388473,-0.005456429,-0.007021022,0.00057143
1.290209285,-0.003631791,-0.007148369,0.000956897
1.296533841,-0.00206719,-0.007166619,0.001340247
1.302858396,-0.000712576,-0.007056468,0.001664388
1.309182951,0.000542823,-0.006808838,0.001884937
1.315507507,0.001816933,-0.006429905,0.001975586
1.321832062,0.003179612,-0.005940797,0.001925056
1.328156617,0.004614375,-0.005372193,0.001727592
1.334481173,0.00601009,-0.004756332,0.001371248
1.340805728,0.007185803,-0.004120134,0.000829099
1.347130283,0.00794095,-0.003482672,5.77E-05
1.353454839,0.008114781,-0.002858285,-0.00099491
1.359779394,0.007635711,-0.002263995,-0.002373031
1.366103949,0.00654451,-0.001727687,-0.004092032
1.372428505,0.004983775,-0.001292748,-0.006118652
1.37875306,0.00315716,-0.001015889,-0.008358741
1.385077615,0.001271744,-0.000957502,-0.010657623
1.39140217,-0.000517554,-0.001167025,-0.012815284
1.397726726,-0.002143421,-0.001668286,-0.014614927
1.404051281,-0.003630155,-0.002450463,-0.015859912
1.410375836,-0.005065539,-0.003468765,-0.01641154
1.416700392,-0.006550775,-0.004655658,-0.016219245
1.423024947,-0.008146113,-0.005939453,-0.01533588
1.429349502,-0.009831356,-0.007264024,-0.013913641
1.435674058,-0.011495435,-0.008602423,-0.012180265
1.441998613,-0.012959437,-0.009958916,-0.010399461
1.448323168,-0.014026037,-0.011357914,-0.008823238
1.454647724,-0.014539169,-0.012823142,-0.007645909
1.460972279,-0.014433989,-0.014354372,-0.006969535
1.467296834,-0.013760156,-0.015910624,-0.006788403
1.47362139,-0.012670091,-0.017407007,-0.006996016
1.479945945,-0.011375459,-0.018727979,-0.007413079
1.4862705,-0.010085602,-0.019753904,-0.007830064
1.492595056,-0.008947637,-0.020392767,-0.00805446
1.498919611,-0.008007345,-0.020606422,-0.00795174
1.505244166,-0.007203031,-0.020422057,-0.007470714
1.511568722,-0.006393695,-0.019924252,-0.006648113
1.517893277,-0.005411616,-0.019229669,-0.005592804
1.524217832,-0.004121797,-0.01845264,-0.004455451
1.530542388,-0.002469001,-0.017673434,-0.00339315
1.536866943,-0.000497835,-0.016920458,-0.002539332
1.543191498,0.001659163,-0.016172942,-0.001986799
1.549516053,0.003819682,-0.015383472,-0.001786851
1.555840609,0.005801833,-0.014512396,-0.001961607
1.562165164,0.007468881,-0.013561399,-0.002521916
1.568489719,0.00875395,-0.01259311,-0.003481231
1.574814275,0.009657963,-0.011727958,-0.004857493
1.58113883,0.010224,-0.011117073,-0.006659825
1.587463385,0.010499614,-0.010898513,-0.008863298
1.593787941,0.010502591,-0.01115036,-0.011380818
1.600112496,0.010203819,-0.01185616,-0.014044172
1.606437051,0.009534174,-0.012894935,-0.016605144
1.612761607,0.008413206,-0.014060467,-0.018762349
1.619086162,0.006789176,-0.015105328,-0.020211511
1.625410717,0.004675688,-0.015797085,-0.020708799
1.631735273,0.002171149,-0.015970116,-0.020131171
1.638059828,-0.000546831,-0.015557755,-0.018516625
1.644384383,-0.0032514,-0.014595791,-0.016071315
1.650708939,-0.005711953,-0.013197543,-0.013138884
1.657033494,-0.007741333,-0.011509806,-0.010137588
1.663358049,-0.009230786,-0.00966494,-0.007479874
1.669682605,-0.010163177,-0.007745209,-0.005494244
1.67600716,-0.010602285,-0.005770984,-0.004368782
1.682331715,-0.010663517,-0.003715939,-0.004129788
1.688656271,-0.010476507,-0.001542951,-0.004659173
1.694980826,-0.010151354,0.000753021,-0.005743597
1.701305381,-0.009757531,0.00311145,-0.007139904
1.707629936,-0.009319256,0.005395653,-0.00863777
1.713954492,-0.008825264,0.007410934,-0.010102565
1.720279047,-0.008246688,0.008947383,-0.011488496
1.726603602,-0.007555282,0.009834469,-0.01282185
1.732928158,-0.006735685,0.009989814,-0.014163416
1.739252713,-0.005788827,0.009445626,-0.015565064
1.745577268,-0.004727434,0.00834297,-0.017036206
1.751901824,-0.003567399,0.006894307,-0.018531353
1.758226379,-0.002319704,0.005325135,-0.019961831
1.764550934,-0.000986581,0.00381278,-0.021225839
1.77087549,0.000436658,0.002441726,-0.02224438
1.777200045,0.001955118,0.001189875,-0.022988494
1.7835246,0.003565885,-4.98E-05,-0.023486442
1.789849156,0.005250871,-0.001419083,-0.023806861
1.796173711,0.006973476,-0.003033171,-0.024022924
1.802498266,0.008680231,-0.004927569,-0.024170047
1.808822822,0.010307057,-0.007032437,-0.024213003
1.815147377,0.011788635,-0.009182754,-0.024036078
1.821471932,0.013068806,-0.011161681,-0.023462843
1.827796488,0.014109895,-0.012763043,-0.022302363
1.834121043,0.014899128,-0.013852324,-0.02040953
1.840445598,0.015450804,-0.01440592,-0.017741706
1.846770154,0.015803514,-0.014515651,-0.014394005
1.853094709,0.016012455,-0.014357196,-0.010601234
1.859419264,0.016137864,-0.014133337,-0.006704217
1.865743819,0.016231606,-0.014011367,-0.003088621
1.872068375,0.016324796,-0.014075823,-0.000112436
1.87839293,0.016419568,-0.014312213,0.001958744
1.884717485,0.016487516,-0.014626404,0.002992239
1.891042041,0.01647582,-0.014891754,0.002995796
1.897366596,0.016320004,-0.015006232,0.002093181
1.903691151,0.015960223,-0.014938218,0.000477977
1.910015707,0.015356705,-0.014743698,-0.001638772
1.916340262,0.014499972,-0.014547792,-0.00407111
1.922664817,0.013412927,-0.014496401,-0.006679516
1.928989373,0.012144357,-0.014694759,-0.009367562
1.935313928,0.010756119,-0.015154767,-0.012058931
1.941638483,0.009308266,-0.015770515,-0.014666281
1.947963039,0.007846943,-0.016331976,-0.017065843
1.954287594,0.006398711,-0.016573903,-0.019089349
1.960612149,0.004972563,-0.016244883,-0.020538747
1.966936705,0.003567991,-0.015174613,-0.021221199
1.97326126,0.002185237,-0.013318036,-0.020994679
1.979585815,0.000833122,-0.010762846,-0.019810277
1.985910371,-0.000469099,-0.007699172,-0.017737608
1.992234926,-0.001696858,-0.004362746,-0.014964246
1.998559481,-0.002830336,-0.000971114,-0.01176776
2.004884037,-0.003865016,0.002326104,-0.00846711
2.011208592,-0.004817518,0.005467749,-0.005366548
2.017533147,-0.005722839,0.008468068,-0.002707459
2.023857703,-0.006622147,0.011377499,-0.000641174
2.030182258,-0.007544058,0.014233473,0.000770824
2.036506813,-0.008485401,0.017020069,0.001531661
2.042831368,-0.009398682,0.019651253,0.001669277
2.049155924,-0.010192096,0.02198329,0.001197484
2.055480479,-0.010744332,0.023851106,9.32E-05
2.061805034,-0.010931556,0.025114805,-0.001700367
2.06812959,-0.010659596,0.025699264,-0.00424267
2.074454145,-0.009891893,0.025612624,-0.007546991
2.0807787,-0.008664425,0.024937422,-0.011528816
2.087103256,-0.007082329,0.023798059,-0.015971231
2.093427811,-0.005298521,0.022316683,-0.020522764
2.099752366,-0.003480287,0.020573374,-0.024734648
2.106076922,-0.001773772,0.018584626,-0.028132741
2.112401477,-0.000277048,0.016307255,-0.030308238
2.118726032,0.000970376,0.013665688,-0.031004103
2.125050588,0.001979229,0.010592375,-0.030173551
2.131375143,0.002787416,0.007066774,-0.027993171
2.137699698,0.003431353,0.003139326,-0.024825165
2.144024254,0.003922782,-0.001067431,-0.02113713
2.150348809,0.004240155,-0.005380116,-0.017399949
2.156673364,0.00433827,-0.009609903,-0.013990835
2.16299792,0.004172981,-0.01358937,-0.011127325
2.169322475,0.00373168,-0.017198444,-0.008849125
2.17564703,0.003057393,-0.020371992,-0.007050608
2.181971586,0.00225569,-0.02308893,-0.005551639
2.188296141,0.001479127,-0.025349779,-0.004182917
2.194620696,0.000891746,-0.027153591,-0.002857801
2.200945251,0.000623704,-0.028484676,-0.001607245
2.207269807,0.000730571,-0.029314909,-0.000566739
2.213594362,0.001171572,-0.029620414,7.97E-05
2.219918917,0.001815781,-0.029405019,0.000178298
2.226243473,0.002476505,-0.028719549,-0.000320682
2.232568028,0.002964743,-0.027667241,-0.00132319
2.238892583,0.003145717,-0.026390853,-0.002601639
2.245217139,0.002980587,-0.0250444,-0.003856347
2.251541694,0.002539465,-0.023758956,-0.004810259
2.257866249,0.001980619,-0.0226149,-0.00530629
2.264190805,0.001501598,-0.021631125,-0.005373245
2.27051536,0.001277323,-0.02077552,-0.005234358
2.276839915,0.001404902,-0.019992854,-0.005249951
2.283164471,0.001873158,-0.019239152,-0.005807158
2.289489026,0.002567191,-0.018508731,-0.007188247
2.295813581,0.003306914,-0.01784243,-0.009458334
2.302138137,0.003907311,-0.017312771,-0.012409803
2.308462692,0.004240705,-0.016990975,-0.01558499
2.314787247,0.004280388,-0.016908586,-0.018375302
2.321111803,0.004110813,-0.01702959,-0.020171162
2.327436358,0.003900557,-0.017246001,-0.020520696
2.333760913,0.003846701,-0.0174016,-0.019251206
2.340085469,0.004109035,-0.017337819,-0.01651787
2.346410024,0.004756278,-0.016946723,-0.012765478
2.352734579,0.005742804,-0.016212086,-0.008614863
2.359059134,0.006924351,-0.015222655,-0.004707813
2.36538369,0.008108099,-0.01415089,-0.001555832
2.371708245,0.009120644,-0.013202772,0.00056445
2.3780328,0.009870864,-0.012555039,0.001641919
2.384357356,0.010385755,-0.012301578,0.001883875
2.390681911,0.010805802,-0.012428239,0.001611144
2.397006466,0.011339751,-0.012825754,0.001132049
2.403331022,0.012192255,-0.013337,0.000636469
2.409655577,0.013487451,-0.013822191,0.00014271
2.415980132,0.01521362,-0.014218577,-0.000488514
2.422304688,0.017207994,-0.014572399,-0.00148076
2.428629243,0.019188266,-0.015030164,-0.003035756
2.434953798,0.020822476,-0.015790557,-0.005230694
2.441278354,0.021816501,-0.017032508,-0.007953081
2.447602909,0.021992418,-0.018844,-0.010894699
2.453927464,0.021333615,-0.021176708,-0.013607515
2.46025202,0.019982818,-0.023843243,-0.015605419
2.466576575,0.018193985,-0.026559307,-0.01648226
2.47290113,0.016253508,-0.029017593,-0.016012497
2.479225686,0.014395695,-0.030969125,-0.01420651
2.485550241,0.012739055,-0.032284981,-0.01130616
2.491874796,0.011262918,-0.032977955,-0.00772306
2.498199352,0.009830789,-0.033177435,-0.003937457
2.504523907,0.008251666,-0.033066859,-0.000385417
2.510848462,0.006358432,-0.032805874,0.002636082
2.517173017,0.004077096,-0.03246442,0.005022453
2.523497573,0.001463937,-0.031991591,0.006861189
2.529822128,-0.001301675,-0.031229916,0.008380068
2.536146683,-0.003966373,-0.02997,0.009858987
2.542471239,-0.006277587,-0.028026656,0.011529365
2.548795794,-0.008059393,-0.02531059,0.01348782
2.555120349,-0.009264464,-0.021871597,0.015647222
2.561444905,-0.009984994,-0.017899209,0.017739122
2.56776946,-0.010418905,-0.013681246,0.019369086
2.574094015,-0.010802242,-0.009534584,0.020113232
2.580418571,-0.011329604,-0.005730967,0.019633314
2.586743126,-0.012088281,-0.002441261,0.017781542
2.593067681,-0.01302716,0.000285822,0.014666766
2.599392237,-0.01397013,0.002506726,0.010661307
2.605716792,-0.014669379,0.0043368,0.006341277
2.612041347,-0.014881323,0.005892743,0.002370079
2.618365903,-0.014441118,0.007243956,-0.000649198
2.624690458,-0.013312713,0.008388312,-0.002316068
2.631015013,-0.011599818,0.009258285,-0.002531295
2.637339569,-0.009515914,0.009752571,-0.00152232
2.643664124,-0.007324314,0.009780143,0.000216089
2.649988679,-0.005268121,0.009300639,0.002054337
2.656313235,-0.003511969,0.008347713,0.003400043
2.66263779,-0.002112475,0.007028941,0.003861954
2.668962345,-0.001024201,0.00550425,0.003357185
2.675286901,-0.00013633,0.003951494,0.002127053
2.681611456,0.000674072,0.00253073,0.000652472
2.687936011,0.001490463,0.001357284,-0.000509541
2.694260566,0.002323184,0.000489115,-0.000920493
2.700585122,0.003103063,-7.16E-05,-0.000425386
2.706909677,0.00370225,-0.000367303,0.000767347
2.713234232,0.003973791,-0.000469687,0.002122677
2.719558788,0.003796495,-0.000466052,0.002928699
2.725883343,0.003111369,-0.00044815,0.002518402
2.732207898,0.001939873,-0.000503186,0.000496424
2.738532454,0.000380718,-0.000704538,-0.003102516
2.744857009,-0.00141155,-0.001100944,-0.00777954
2.751181564,-0.003258335,-0.001705564,-0.012681266
2.75750612,-0.004989778,-0.002489019,-0.016827316
2.763830675,-0.0064707,-0.003381587,-0.019390196
2.77015523,-0.007615161,-0.004288014,-0.019941576
2.776479786,-0.008388962,-0.005114042,-0.018585279
2.782804341,-0.00880227,-0.00579834,-0.015929875
2.789128896,-0.008895982,-0.006339308,-0.012903223
2.795453452,-0.008725388,-0.006805515,-0.010462317
2.801778007,-0.008343974,-0.007322402,-0.009287672
2.808102562,-0.007789453,-0.008035538,-0.009559883
2.814427118,-0.007073873,-0.009059782,-0.010893003
2.820751673,-0.006179739,-0.010430692,-0.012451323
2.827076228,-0.005064034,-0.012076371,-0.013217796
2.833400784,-0.00367108,-0.013823038,-0.012332387
2.839725339,-0.001953128,-0.015437111,-0.009393596
2.846049894,0.000105323,-0.016693478,-0.004625156
2.852374449,0.002466175,-0.017448822,0.001149505
2.858699005,0.005027191,-0.017694428,0.006722462
2.86502356,0.007628682,-0.017567445,0.010843072
2.871348115,0.010079529,-0.01731211,0.012581947
2.877672671,0.012198443,-0.017199515,0.01160408
2.883997226,0.013860189,-0.017429963,0.008265465
2.890321781,0.015032688,-0.018050447,0.003502458
2.896646337,0.015791461,-0.018917313,-0.00145178
2.902970892,0.01630331,-0.019721011,-0.005434956
2.909295447,0.0167803,-0.020069634,-0.007692367
2.915620003,0.017415344,-0.019607477,-0.008077908
2.921944558,0.018318298,-0.01813125,-0.00705827
2.928269113,0.019473552,-0.01566498,-0.005522135
2.934593669,0.020735104,-0.01246647,-0.004458175
2.940918224,0.021864057,-0.00895983,-0.004606892
2.947242779,0.022599577,-0.005613314,-0.006198771
2.953567335,0.022742278,-0.0028009,-0.008862719
2.95989189,0.022223076,-0.000692978,-0.011733702
2.966216445,0.021133439,0.000786668,-0.01372478
2.972541001,0.019704371,0.001921615,-0.013876611
2.978865556,0.018237994,0.00309258,-0.011673576
2.985190111,0.017012005,0.004631906,-0.007227005
2.991514667,0.016187679,0.006691373,-0.001268631
2.997839222,0.015752645,0.009168892,0.005042793
3.004163777,0.015519518,0.011720979,0.010440807
3.010488332,0.015183516,0.013859687,0.013897897
3.016812888,0.01442233,0.015104187,0.014894621
3.023137443,0.013006375,0.015137989,0.013532957
3.029461998,0.010882692,0.01391965,0.010465602
3.035786554,0.008203225,0.011709075,0.006670255
3.042111109,0.005286008,0.008998722,0.003144088
3.048435664,0.002520103,0.006370316,0.000614851
3.05476022,0.000244614,0.004322562,-0.00064448
3.061084775,-0.001358213,0.003125486,-0.000846721
3.06740933,-0.002319355,0.002748747,-0.000566582
3.073733886,-0.002868534,0.002887193,-0.000509396
3.080058441,-0.003352008,0.003074919,-0.001251035
3.086382996,-0.004108766,0.002849815,-0.003032705
3.092707552,-0.005345896,0.00191384,-0.005673179
3.099032107,-0.007055116,0.000235733,-0.008621604
3.105356662,-0.008999503,-0.001937861,-0.011129414
3.111681218,-0.010776486,-0.004166267,-0.012484244
3.118005773,-0.01193787,-0.005965297,-0.012232336
3.124330328,-0.012128459,-0.006973849,-0.01032273
3.130654884,-0.011198337,-0.007080778,-0.007132916
3.136979439,-0.0092523,-0.00646966,-0.003372323
3.143303994,-0.00662059,-0.005566572,0.000104519
3.14962855,-0.003760946,-0.004908265,0.002519525
3.155953105,-0.001124526,-0.004974313,0.003365499
3.16227766,0.000970256,-0.006038165,0.00252324
3.168602215,0.002415167,-0.008085041,0.000275556
3.174926771,0.003316922,-0.010821827,-0.002778436
3.181251326,0.003930001,-0.013773474,-0.005879925
3.187575881,0.004542362,-0.016432317,-0.008293973
3.193900437,0.005354302,-0.018410461,-0.009473763
3.200224992,0.006392385,-0.019546092,-0.009168737
3.206549547,0.007487783,-0.019931499,-0.007457073
3.212874103,0.008326093,-0.019857568,-0.004702626
3.219198658,0.008551238,-0.0196972,-0.001453494
3.225523213,0.007887863,-0.019769209,0.001689554
3.231847769,0.006240641,-0.020228764,0.004202999
3.238172324,0.00373703,-0.021019434,0.005740596
3.244496879,0.000699309,-0.021899734,0.006184271
3.250821435,-0.002444543,-0.022531683,0.0056388
3.25714599,-0.00528141,-0.02259891,0.004376006
3.263470545,-0.007525502,-0.021913684,0.002745327
3.269795101,-0.009086775,-0.02047805,0.001074932
3.276119656,-0.010074847,-0.01848132,-0.000410539
3.282444211,-0.010739859,-0.016238173,-0.001633801
3.288768767,-0.011372521,-0.014090931,-0.002658501
3.295093322,-0.012198227,-0.012309865,-0.003634547
3.301417877,-0.013300668,-0.01102383,-0.00471154
3.307742433,-0.014598889,-0.010201283,-0.005947505
3.314066988,-0.015882658,-0.009683778,-0.007243862
3.320391543,-0.016890953,-0.009256607,-0.008332141
3.326716098,-0.017404326,-0.008730276,-0.008823843
3.333040654,-0.017318494,-0.008005205,-0.008315537
3.339365209,-0.016674454,-0.00709996,-0.00652222
3.345689764,-0.015636702,-0.006137273,-0.003399428
3.35201432,-0.01442968,-0.005296592,0.000786789
3.358338875,-0.013256873,-0.004752174,0.005471284
3.36466343,-0.012232137,-0.004618519,0.009889853
3.370987986,-0.011347343,-0.004920046,0.013248563
3.377312541,-0.010486543,-0.005591823,0.014920125
3.383637096,-0.009479839,-0.00650687,0.014613232
3.389961652,-0.008176087,-0.007517212,0.012464687
3.396286207,-0.006507462,-0.008493057,0.009023466
3.402610762,-0.004522691,-0.009347638,0.00512563
3.408935318,-0.002377762,-0.010042429,0.001690501
3.415259873,-0.000288607,-0.010575605,-0.000507891
