time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
0.9,0,0,0,0,0,0,0,0
0.91,0.01,1.6462043633859e-08,2377.6305969676,0.45031481349982,2432.0324222019,-1.8357830777416,1967.3644639411,-0.046462369453288
0.92,0.01,1.4271087914679e-08,1793.4763368658,0.10473411493092,1855.7439196496,0.081872226047038,1967.9505359178,-0.025457108945394
0.93,0.01,1.2762264263793e-08,1688.2881687051,0.085858561411706,1720.5012664243,0.06796133324019,1967.9050796046,-0.031716606812888
0.94,0.01,1.1510490580565e-08,1626.5735191711,0.070321747586467,1637.3122983907,0.0020173604695262,1967.8457232912,-0.046445736610337
0.95,0.01,1.2042275854301e-08,1591.6855903759,0.06264754707099,1584.0415143987,0.50920398035615,1967.6628082792,0.017181288801333
0.96,0.01,1.120559483967e-08,1565.3498523225,0.056001676655816,1544.9874564415,0.023698953578874,1967.9183848089,-0.026148778282947
0.97,0.01,9.6330184596573e-09,1542.4711852921,0.053186112352016,1513.7883294243,0.10267002617165,1967.7779526722,-0.082480011207497
0.98,0.01,9.3752161735215e-09,1521.8618306767,0.050352889218528,1487.8900131982,0.057434417739424,1967.8421791039,-0.069091431645519
1,0.02,3.2096418072229e-07,1495.2900893243,0.047918494621052,1460.4700036677,0.019322995336257,1962.5667200688,13.673114882582
1.01,0.01,4.1595243380715e-06,1486.1686810642,0.039268044995368,1450.3985348459,0.3200677989561,1973.3658023271,181.78441238883
1.02,0.01,2.1923577420093e-05,1541.1472906434,0.045042413164377,1498.7926220774,-0.25613485007467,1965.850732998,660.1180248229
1.03,0.01,0.00011262747672462,1869.4712971067,-0.33132643861243,1844.6414787575,1.026747002737,1963.4802995389,1270.7840395653
1.04,0.01,0.00050327215238704,1935.9551116967,-0.24560609294904,2033.7266427355,-2.4563537114736,1964.2575185955,1386.794462405
1.05,0.01,0.0011256669410056,1894.1718373659,0.3300694941659,2075.9039756213,-4.710972528535,1977.5135867986,1380.3125966346
1.06,0.01,0.0017503357191886,1875.3998324583,1.0060091658296,2057.2786751617,-2.3394061159836,1955.447398529,1376.4018248532
1.07,0.01,0.002391065314835,1842.6984138493,0.057227786636351,2047.3493834661,0.76454132144112,1968.8688469186,1378.0097492138
1.08,0.01,0.0030155880651238,1840.8301610561,-0.59057915631681,2015.8311613036,2.2955054100902,1969.7704771828,1378.0215763718
1.09,0.01,0.0035193573676225,1832.7646678528,-0.028171744022664,1994.7395510901,-1.3328693779472,1965.2065926612,1387.2767483367
1.1,0.01,0.0038586735284026,1803.1918704172,0.025738558312717,1966.6262046221,-2.321582018306,1970.6856715985,1381.1886152651
1.11,0.01,0.0040128316964372,1755.5217546327,0.15991373998741,1875.8530007651,2.877239017854,1970.4827215672,1386.0976598037
1.12,0.01,0.0040157461175862,1262.7183611238,0.25014418320022,1506.3890476576,0.50107411018986,1970.1949855101,1062.2480939052
1.13,0.01,0.0040080904243257,844.48573405765,1.0483343267728,1257.2434964978,-5.0406270731021,1966.4399955755,-1.8354171590702
1.14,0.01,0.003888602919218,1555.368137171,0.68670105656085,1637.8689202892,-6.7932041522941,1975.1893348274,-1265.5434818664
1.15,0.01,0.0030974556950229,1808.6390263846,-0.56092387988554,1949.0906346867,3.236823633834,1955.3597649375,-1377.7490831796
1.16,0.01,0.001822024862128,1748.8250795199,0.59832420717928,1937.220118385,2.1624716161237,1988.8906302232,-1364.9760751677
1.17,0.01,0.00047922174704547,1749.8413496896,-0.13127279121555,1923.8079486822,-7.4829747263786,1953.1367919291,-1370.2905465828
1.18,0.01,-0.0011432163888101,1625.8150713631,-1.6436311303119,1849.4065906523,-8.3174904237668,1977.3292698016,-1324.523630073
1.19,0.01,-0.0028837616803305,1735.0269230555,-0.04238042661594,1905.8885838417,-6.3877396218018,1963.5555235033,-1364.9938416955
1.2,0.01,-0.0046952515632854,1619.3129083061,-3.9464929640775,1854.0704647254,-3.2073848244264,1979.6069281851,-1336.0035954342
1.21,0.01,-0.0064514354905542,1670.1336025885,-1.1376591993987,1871.0793137126,-11.319816498992,1956.8259907731,-1359.6740042197
