time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
0,0,0,0,0,0,0,0,0
0.01,0.01,3.8655432274284e-09,-715689.41819906,-2.5289640717656e-13,-715689.41819906,-9.4672077952491e-11,-874731.51113218,2091.941040726
0.02,0.01,4.3605582517085e-08,-715708.6907041,-2.8083085906695e-12,-715708.6907041,-8.0356310018781e-11,-874755.06641613,23598.31524454
