time,dispx,nor_forc,nor_forc_z,strain_zx_interface,stres_xx_interface,stres_yy_interface,stres_zz_interface,stress_zx_interface,tang_forc_x
0.9,0,0,0,0,0,0,0,0,0
0.905,0,198.75210785387,-198.7521077664,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581802,0.015298233745134
0.91,0,198.75215547515,-198.75215538768,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233767559
0.915,0,198.75215547476,-198.75215538729,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233855273
0.92,0,198.75215547574,-198.75215538827,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233516772
0.925,0,198.75215547365,-198.75215538618,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233736942
0.93,0,198.75215547483,-198.75215538736,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233624791
0.935,0,198.75215547639,-198.75215538892,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.01529823366968
0.94,0,198.75215547424,-198.75215538677,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233677803
0.945,0,198.75215547574,-198.75215538827,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233745159
0.95,0,198.75215547594,-198.75215538846,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233736981
0.955,0,198.75215547476,-198.75215538729,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233600329
0.96,0,198.75215547541,-198.75215538794,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233738978
0.965,0,198.75215547515,-198.75215538768,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233741049
0.97,0,198.75215547574,-198.75215538827,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233647271
0.975,0,198.75215547515,-198.75215538768,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233677809
0.98,0,198.75215547483,-198.75215538736,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233649272
0.985,0,198.75215547457,-198.75215538709,-1.1816384556814e-10,-1.5535312407875,-0.73056768669947,-5.4835565873217,-0.00037812430581805,0.015298233751221
