time,_dt,accel_top_x,accel_top_y,accel_top_z,disp_top_x,disp_top_y,disp_top_z,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.01,0,0,0,8.7637617143038e-06,8.7637617143038e-06,8.7637617143038e-06,2.8150154489502e-14,-899887.21312404,1.0057203753159e-08,-899887.00601324,-0.0001370748666915,-899887.87042928,3.5664927823088e-09
0.02,0.01,0,0,0,8.8196770966197e-06,8.8196770966197e-06,8.8196770966197e-06,1.3074456855044e-14,-904342.89165308,-0.0010516961696412,-904096.089705,-8.8164468252216e-07,-905580.29457982,-0.00081585771725438
