time,accel_x,accel_y,accel_z
0,0,0,0
0.01,-0.000289394,0.002907331,0.000108126
0.02,-0.000359874,0.005474436,0.001199972
0.03,-0.000345992,0.006012357,0.000471426
0.04,-0.000529756,0.006390113,0.004105928
0.05,-0.000817652,0.006598248,0.002406607
0.06,-0.001109704,0.006659291,0.006749758
0.07,-0.001385492,0.006622131,0.001824697
0.08,-0.001703383,0.006509705,0.006098633
0.09,-0.002101413,0.0063214,-0.000887167
0.1,-0.002537342,0.006066976,0.005673185
0.11,-0.002857324,0.005771614,-0.001486321
0.12,-0.002950335,0.005522815,0.007496155
0.13,-0.002759652,0.005402885,-0.001387015
0.14,-0.002454369,0.005431572,0.008054208
0.15,-0.002204538,0.005544974,-0.003432494
0.16,-0.002108933,0.005648156,0.007194638
0.17,-0.002100757,0.00565154,-0.005081402
0.18,-0.002002523,0.005581862,0.008323139
0.19,-0.001713188,0.005487958,-0.004530611
0.2,-0.001270652,0.005447826,0.010245806
0.21,-0.000912146,0.005394122,-0.005195447
0.22,-0.000875231,0.005254123,0.00971405
0.23,-0.00123349,0.004910236,-0.008016922
0.24,-0.00183548,0.004422503,0.008676483
0.25,-0.002407222,0.003880361,-0.009380592
0.26,-0.002772094,0.00345336,0.010038569
0.27,-0.00289891,0.003162887,-0.009059734
0.28,-0.002976369,0.002948018,0.011385355
0.29,-0.003149921,0.002653864,-0.010179683
0.3,-0.003438062,0.002266656,0.011055617
0.31,-0.003677068,0.001840627,-0.011959759
0.32,-0.003634006,0.001602307,0.011423325
0.33,-0.003275894,0.001589041,-0.012475244
0.34,-0.002712633,0.001822924,0.012317496
0.35,-0.002206521,0.002085628,-0.013736199
0.36,-0.001937111,0.002286433,0.011836757
0.37,-0.001936842,0.002342576,-0.015629327
0.38,-0.002039625,0.002410886,0.012433216
0.39,-0.002069584,0.002560638,-0.014890562
0.4,-0.001982735,0.002841169,0.015965081
0.41,-0.001856199,0.003096552,-0.012542048
0.42,-0.00187123,0.003233099,0.018897684
0.43,-0.002101062,0.003182825,-0.012660084
0.44,-0.00256113,0.003117536,0.018452157
0.45,-0.003082028,0.003177017,-0.01600012
0.46,-0.003533314,0.003555959,0.015768128
0.47,-0.003820742,0.004140811,-0.020285412
0.48,-0.003952995,0.004838163,0.013465199
0.49,-0.003954917,0.00541713,-0.022799675
